3.207999999999978 0 0.36600000000000027 1 2.841999999999985 0 1 593; 
6.965999999999971 0 0.6700000000000005 1 6.295999999999969 0 1 593 5234; 
8.755999999999974 0 1.8780000000000014 1 6.877999999999964 0 5135; 1 593 5234; 
11.287999999999956 0 2.1779999999999946 1 9.109999999999964 0 5135; 1 593 5234 3782; 
14.629999999999972 0 2.563999999999986 1 12.065999999999978 0 5135; 1 593 5234 3782 5785; 
16.195999999999962 0 2.6319999999999877 1 13.563999999999965 0 5135; 1 593 5234 3782 5785 1048; 
18.629999999999963 0 2.783999999999986 1 15.845999999999961 0 5135; 1 593 5234 3782 5785 1048 4985; 
21.933999999999976 0 3.213999999999979 1 18.71999999999997 0 5135; 1 593 5234 3782 5785 1048 4985 3634; 
23.825999999999965 0 3.3779999999999792 1 20.447999999999972 0 5135; 1 5785 3782 5234 3634 593 1048 4985 3348; 
26.627999999999954 0 3.6139999999999786 1 23.013999999999996 0 5135; 1 5785 3782 5234 3634 593 1048 4985 3348 1628; 
29.125999999999976 0 3.8499999999999734 1 25.275999999999975 0 5135; 1 5785 3782 5234 3634 593 1048 4985 3348 1628 817; 
30.63599999999997 0 5.08799999999997 1 25.547999999999977 0 5135 3623; 1 5785 3782 5234 3634 593 1048 4985 3348 1628 817; 
32.535999999999966 0 5.103999999999974 1 27.431999999999984 0 5135 3623; 1 5785 3782 5234 3634 593 1048 4985 3348 1628 817 97; 
35.01399999999996 0 5.425999999999967 1 29.587999999999955 0 5135 3623; 1 5785 3782 5234 3634 593 1048 4985 3348 817 1628 97 4812; 
36.49399999999997 0 6.569999999999966 1 29.924000000000003 0 5135 3623 5463; 1 5785 3782 5234 3634 593 4036 4985 3348 817 1628 97 677; 
39.342000000000006 0 5.621999999999967 1 33.719999999999956 0 5135 3623; 1 5785 3782 5234 3634 593 4036 4985 3348 817 1628 97 4812 677 5679; 
