2.4879999999999853 0 1.304000000000001 1 1.1840000000000008 0 3623; 1 
5.665999999999973 0 1.7180000000000013 1 3.9479999999999746 0 3623; 1 4980; 
8.229999999999968 0 1.9140000000000015 1 6.315999999999971 0 3623; 1 4980 3348; 
10.797999999999966 0 2.1499999999999977 1 8.647999999999959 0 3623; 1 4980 3348 2411; 
13.645999999999981 0 2.427999999999991 1 11.217999999999968 0 3623; 1 2411 3348 4980 3449; 
16.889999999999972 0 2.6719999999999877 1 14.217999999999973 0 3623; 1 2411 3348 4980 3449 1315; 
18.44199999999995 0 2.917999999999983 1 15.523999999999964 0 3623; 1 2411 3348 4980 3449 1315 817; 
20.591999999999977 0 3.1179999999999817 1 17.47399999999997 0 3623; 1 2411 3348 4980 3449 1315 817 3782; 
22.183999999999983 0 4.081999999999981 1 18.10199999999998 0 4854 3623; 1 2411 817 1315 4980 3348 3782 3449; 
25.587999999999973 0 4.5439999999999765 1 21.04399999999997 0 4854 3623; 1 2411 817 1315 4980 3348 3782 3449 593; 
26.863999999999997 0 4.645999999999973 1 22.21799999999998 0 4854 3623; 1 2411 817 1315 4980 3348 3782 3449 593 2317; 
29.501999999999967 0 4.6459999999999715 1 24.855999999999927 0 4854 3623; 1 2411 817 1315 4980 3348 3782 3449 2317 593 677; 
31.98199999999996 0 4.995999999999975 1 26.985999999999954 0 4854 3623; 1 2411 817 1315 4980 3348 3782 3449 2317 593 677 5234; 
34.11599999999997 0 6.193999999999966 1 27.921999999999972 0 4854 3623 5135; 1 2411 817 1315 4980 3348 3782 3449 677 5234 2317 593; 
36.14599999999996 0 6.301999999999962 1 29.843999999999944 0 4854 3623 5135; 1 2411 817 1315 4980 3348 3782 3449 677 5234 2317 593 4985; 
38.666000000000004 0 6.447999999999964 1 32.217999999999996 0 4854 3623 5135; 1 2411 817 1315 4980 3232 3782 3449 677 5234 2317 593 4985 3939; 
41.124 0 6.865999999999967 1 34.25799999999998 0 4854 3623 5135; 1 2411 817 1315 4980 3232 3782 3449 677 5234 2317 593 4985 3939 6109; 
43.123999999999995 0 6.873999999999964 1 36.24999999999998 0 4854 3623 5135; 1 2411 817 1315 4980 3232 3782 3449 593 4985 5234 677 2317 3939 6109 5785; 
45.37399999999998 0 7.151999999999961 1 38.22200000000004 0 4854 3623 5135; 1 2411 817 1315 4980 3232 3782 3449 593 4985 5234 677 2317 3939 6109 5785 1628; 
46.72000000000002 0 8.13799999999996 1 38.58199999999999 0 4854 3623 5135 4713; 1 2411 817 1315 4980 3232 3782 3449 593 4985 5234 677 2317 3939 6109 1628 813; 
47.764000000000024 0 10.185999999999963 1 37.57799999999999 0 4854 3623 5 5463 5135 5390; 1 2411 817 1315 3232 3782 593 4985 5234 677 2317 3939 6109 5785 1628 813; 
50.583999999999975 0 10.457999999999965 1 40.12599999999997 0 4854 3623 5 5463 5135 5390; 1 2411 817 1315 3232 3782 593 4985 5234 677 2317 3939 6109 5785 813 1628 1335; 
