4.477999999999969 0 0.3860000000000003 1 4.0919999999999686 0 1 1335; 
7.341999999999968 0 0.5840000000000004 1 6.757999999999978 0 1 1335 4985; 
10.809999999999969 0 1.0040000000000007 1 9.80599999999998 0 1 1335 4985 5234; 
14.227999999999962 0 1.348000000000001 1 12.879999999999965 0 1 5234 1335 4985 3634; 
16.06399999999997 0 2.6119999999999894 1 13.45199999999997 0 3838; 1 5234 1335 4985 3634; 
19.103999999999946 0 2.8939999999999846 1 16.209999999999965 0 3838; 1 5234 1335 4985 3634 5351; 
22.67799999999995 0 3.1499999999999826 1 19.527999999999963 0 3838; 1 4985 3634 5234 5351 1335 6109; 
23.38399999999999 0 3.2939999999999796 1 20.089999999999964 0 3838; 1 4985 3634 2628 5351 1335 6109 4980; 
25.82799999999999 0 3.4779999999999793 1 22.34999999999997 0 3838; 1 4985 3634 2628 5351 1335 6109 4980 593; 
28.637999999999955 0 3.705999999999975 1 24.93199999999996 0 3838; 1 4985 3634 2628 5351 1335 6109 4980 593 1315; 
31.087999999999997 0 4.0139999999999745 1 27.073999999999955 0 3838; 1 4985 3634 5234 5351 1335 6109 1315 593 4980 2628; 
33.24799999999999 0 4.063999999999973 1 29.183999999999966 0 3838; 1 4985 3634 5234 5351 1335 6109 1315 593 4980 4812 2628; 
35.034 0 5.375999999999965 1 29.65799999999995 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 1315 593 4980 4812 2628; 
37.53400000000001 0 5.597999999999968 1 31.935999999999975 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 1315 593 4980 4812 2628 1048; 
38.48000000000001 0 5.471999999999969 1 33.00799999999998 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 1315 593 325 4812 2628 1048 1897; 
40.56599999999996 0 5.589999999999966 1 34.97599999999995 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 2628 1897 5615; 
42.49800000000004 0 5.85999999999997 1 36.638000000000005 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 2628 1897 5615 3051; 
44.21800000000001 0 5.985999999999975 1 38.23199999999999 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 2628 1897 5615 3051 5082; 
46.068000000000005 0 6.075999999999967 1 39.99200000000001 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 2628 1897 5615 3051 5082 3259; 
49.27399999999998 0 6.433999999999966 1 42.839999999999996 0 3838 3623; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 2628 1897 5615 3051 6096 3259 3292; 
50.428000000000004 0 7.489999999999968 1 42.937999999999995 0 3838 3623 4854; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 2628 1897 5615 3259 3051 3292 6096; 
51.64799999999999 0 7.47199999999997 1 44.17600000000003 0 3838 3623 4854; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 5951 1897 5615 3259 3051 3292 6096 2628; 
54.019999999999996 0 7.5939999999999515 1 46.426 0 3838 3623 4854; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 5951 1897 5615 3259 3051 3292 6096 2628 677; 
55.44999999999993 0 7.809999999999967 1 47.640000000000036 0 3838 3623 4854; 1 4985 3634 5234 5351 1324 6109 4812 1315 325 593 1048 5951 1897 5615 2628 677 3292 3259 6096 3051 813; 
57.61400000000001 0 7.973999999999961 1 49.640000000000015 0 3838 3623 4854; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 5951 1897 5615 2628 677 3292 3259 6096 3051 813 1324; 
59.11399999999995 0 8.101999999999975 1 51.01199999999993 0 3838 3623 4854; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 5951 1897 5615 2628 677 3292 3259 6096 3051 813 1324 2730; 
61.109999999999964 0 8.091999999999965 1 53.01799999999993 0 3838 3623 4854; 1 4985 3634 5234 5351 1335 6109 4812 1315 325 593 1048 5951 1897 5615 2628 677 3292 3259 6096 3051 813 1324 2730 3830; 
62.478 0 9.289999999999957 1 53.187999999999896 0 4854 3838 3623 5135; 1 813 3830 3634 1315 3051 5615 1897 325 3259 1335 3292 6109 677 4812 5351 5951 1048 5234 1324 2730 2628 6096 593 4985; 
64.05800000000002 0 9.221999999999978 1 54.83599999999987 0 4854 3838 3623 5135; 1 813 3830 3634 1315 3051 5615 1897 325 3259 1335 3292 6109 677 4812 5351 5951 1048 5234 1324 2730 2628 6096 593 4985 1849; 
65.974 0 9.371999999999973 1 56.60199999999992 0 4854 3838 3623 5135; 1 813 3830 3634 1315 3051 5615 1897 325 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 1849 2628; 
68.07999999999997 0 9.491999999999969 1 58.58799999999998 0 4854 3838 3623 5135; 1 813 3830 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 1849 2628 1235; 
69.28400000000002 0 9.623999999999965 1 59.65999999999995 0 4854 3838 3623 5135; 1 813 3830 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 1849 2628 1235 5107; 
70.95400000000012 0 9.789999999999965 1 61.163999999999945 0 4854 3838 3623 5135; 1 813 3830 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 2628 1849 5107 1235 4209; 
72.58200000000006 0 10.829999999999963 1 61.75199999999999 0 4854 3838 2990 5135 1595; 1 813 3830 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 2628 1849 5107 1235 4209; 
74.20400000000014 0 10.923999999999944 1 63.28 0 4854 3838 2990 5135 1595; 1 813 3782 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 2628 1849 5107 1235 4209 3374; 
75.31400000000019 0 10.865999999999964 1 64.44799999999998 0 4854 3838 2990 5135 1595; 1 813 3782 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 2628 1849 5730 1235 4209 3374 5306; 
76.29800000000006 0 12.045999999999953 1 64.25199999999997 0 4854 3838 2990 5135 1595 4257; 1 813 3782 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 1628 6096 593 4985 2628 1849 5730 1235 4209 3374 5306; 
78.5720000000001 0 12.86399999999995 1 65.70800000000006 0 4854 3838 2990 5135 1595 4257 1494; 1 813 3782 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 507 6096 593 4985 2628 1849 5730 1235 4209 5306 3374; 
78.75000000000014 0 12.795999999999957 1 65.95400000000004 0 4854 3838 2990 5135 1595 4257 1494; 1 813 3782 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 507 6096 593 4985 2628 1849 5730 1235 4209 5306 3374 4945; 
80.13800000000012 0 12.855999999999968 1 67.28200000000008 0 4854 3838 2990 5135 1595 4257 1494; 1 813 3782 3634 1315 3051 5615 1897 4980 3259 1335 3292 6109 677 4812 5351 3449 1048 5234 1324 2730 507 6096 593 4985 2628 1849 5730 1235 4209 4945 3374 5306 6097; 
