4.64999999999997 0 0.4280000000000003 1 4.221999999999974 0 1 1335; 
8.085999999999968 0 0.6920000000000005 1 7.393999999999966 0 1 1335 5234; 
11.25799999999997 0 1.0740000000000007 1 10.183999999999964 0 1 1335 5234 3634; 
13.107999999999972 0 1.1440000000000008 1 11.963999999999965 0 1 3634 5234 1335 6097; 
16.39799999999996 0 1.422000000000001 1 14.97599999999997 0 1 3634 5234 1335 6097 3259; 
18.193999999999974 0 1.6540000000000012 1 16.539999999999974 0 1 3634 5234 1335 6097 3259 4812; 
20.769999999999957 0 1.7420000000000013 1 19.027999999999974 0 1 3634 5234 1335 6097 3259 4812 4446; 
22.857999999999983 0 1.9640000000000015 1 20.893999999999984 0 1 3634 5234 1335 6097 3259 4812 4446 593; 
25.021999999999984 0 4.215999999999974 1 20.805999999999965 0 5463 3838; 1 3634 5234 1335 6097 3259 4446 593; 
26.99599999999997 0 4.423999999999972 1 22.57199999999998 0 3838 5463; 1 6097 4812 4446 593 3259 3634 1335 5234; 
28.885999999999967 0 4.501999999999978 1 24.383999999999972 0 3838 5463; 1 6097 4812 4446 593 3259 3634 1335 5234 2411; 
31.056 0 5.737999999999974 1 25.317999999999984 0 3838 5463 1595; 1 6097 4812 4446 593 3259 3634 1335 5234 2411; 
33.30799999999997 0 5.9839999999999725 1 27.32399999999998 0 3838 5463 1595; 1 6097 4812 4446 593 3259 3634 1335 5234 2411 5785; 
35.46199999999998 0 6.193999999999965 1 29.267999999999926 0 3838 5463 1595; 1 6097 4812 4446 593 3259 3634 1335 5234 2411 5785 2333; 
38.198 0 7.409999999999963 1 30.78799999999996 0 3838 5463 1595 5135; 1 6097 4812 4446 593 3259 3634 1335 5234 2411 5785 2333; 
38.86199999999997 0 9.22199999999997 1 29.639999999999986 0 3838 5463 5135 1595 4854 3623; 1 6097 4812 4446 593 3259 3634 1335 5234 5785 2411; 
40.293999999999954 0 9.491999999999969 1 30.801999999999968 0 3838 5463 5135 1595 4854 3623; 1 6097 4812 4446 593 3259 3634 1335 5234 5785 2411 1048; 
42.728 0 9.73999999999997 1 32.987999999999985 0 3838 5463 5135 1595 4854 3623; 1 6097 4812 4446 593 3259 3634 1335 5234 5785 2411 1048 4985; 
44.46400000000002 0 9.81799999999997 1 34.646 0 4854 5135 3623 3838 1595 5463; 1 4812 5234 3634 4985 6097 2411 1335 3259 1048 593 4446 5785 817; 
46.06599999999998 0 10.919999999999968 1 35.146 0 4854 5135 3623 3838 1595 5463 4171; 1 4812 5234 3634 4985 6097 2411 1335 3259 1048 593 5785 817 5615; 
49.18799999999999 0 10.411999999999965 1 38.776 0 4854 5135 3623 3838 5463 4171; 1 4812 5234 3634 586 4985 6097 2411 1335 3259 1048 593 5785 817 5615 4980; 
50.69399999999994 0 10.257999999999972 1 40.43600000000003 0 4854 5135 3623 3838 5463 4171; 1 4812 5234 3634 586 4985 6097 2411 1335 3259 1048 593 5785 817 5615 4980 5351; 
52.67599999999994 0 10.601999999999965 1 42.074 0 4854 5135 3623 3838 5463 4171; 1 4812 5234 3634 586 4985 6097 2411 1335 3259 1048 593 5785 817 5615 4980 5351 605; 
55.19399999999994 0 10.931999999999968 1 44.26200000000007 0 4854 5135 3623 3838 5463 4171; 1 4812 5234 3634 586 4985 6097 2411 1335 3259 1048 593 5785 817 5615 4980 5351 605 97; 
57.11999999999999 0 10.837999999999964 1 46.28199999999999 0 4854 5135 3623 3838 5463 4171; 1 4812 5234 3634 586 4985 6097 2411 1335 3259 1048 593 5785 817 5615 4980 5351 605 97 1315; 
58.649999999999935 0 11.817999999999952 1 46.83200000000002 0 4854 5135 3623 3838 5463 5703 4171; 1 4812 5234 3634 586 6097 2411 1335 3259 1048 593 5785 817 5615 4980 5351 605 97 1315 6109; 
