3.939999999999971 0 0.44000000000000034 1 3.499999999999972 0 1 5234; 
6.197999999999961 0 0.5960000000000004 1 5.601999999999969 0 1 5234 1048; 
10.335999999999956 0 0.9240000000000007 1 9.41199999999997 0 1 5234 1048 3634; 
12.233999999999968 0 1.1120000000000008 1 11.121999999999964 0 1 1048 5234 3634 2411; 
14.80799999999997 0 2.413999999999991 1 12.393999999999965 0 5135; 1 1048 5234 3634 2411; 
17.461999999999975 0 2.713999999999987 1 14.747999999999953 0 5135; 1 1048 5234 3634 2411 4436; 
20.24599999999998 0 2.757999999999985 1 17.487999999999946 0 5135; 1 5234 3634 2411 1048 4436 4985; 
22.96399999999996 0 3.1919999999999793 1 19.77199999999996 0 5135; 1 5234 3634 2411 1048 4436 4985 3449; 
25.141999999999975 0 3.2859999999999783 1 21.85599999999995 0 5135; 1 5234 3634 2411 1048 4436 4985 3449 6109; 
28.023999999999983 0 3.485999999999979 1 24.537999999999943 0 5135; 1 5234 3634 2411 1048 4436 4985 3449 6109 677; 
29.46199999999996 0 4.855999999999972 1 24.605999999999973 0 5135 1595; 1 5234 3634 2411 1048 4436 4985 3449 6109 677; 
31.23199999999999 0 5.787999999999965 1 25.443999999999964 0 5135 1595 3838; 1 5234 3634 2411 1048 4436 4985 677 3449 6109; 
33.371999999999986 0 7.083999999999964 1 26.287999999999972 0 5135 1595 3838 3623; 1 5234 3634 2411 1048 4436 4985 677 3449 6109; 
35.099999999999966 0 8.313999999999965 1 26.785999999999973 0 5135 1595 3838 3623 4854; 1 5234 3634 2411 1048 4436 4985 677 3449 6109; 
36.65800000000003 0 8.387999999999973 1 28.26999999999998 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730; 
38.87999999999995 0 8.313999999999972 1 30.56599999999995 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679; 
40.62000000000001 0 8.67199999999996 1 31.947999999999944 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679 5785; 
42.22200000000002 0 8.617999999999972 1 33.60399999999999 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679 5785 4446; 
44.79799999999998 0 8.647999999999968 1 36.149999999999956 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679 5785 4446 5834; 
46.07800000000001 0 8.941999999999968 1 37.135999999999974 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679 3051 4446 5834 5615; 
48.91999999999999 0 8.937999999999972 1 39.982 0 5135 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679 3051 5615 5834 4446 1324; 
50.18599999999998 0 9.079999999999968 1 41.106000000000016 0 5703 3838 1595 3623 4854; 1 5234 3634 2411 1048 4436 4985 6109 677 3449 2730 5679 3051 5615 5834 4446 1324 593; 
52.795999999999985 0 9.247999999999966 1 43.54800000000004 0 3623 4854 1595 3838 5703; 1 4985 5834 677 4436 3051 5234 3634 4446 1048 593 6109 3449 2411 5679 1324 5615 2730 1315; 
54.71999999999998 0 9.325999999999983 1 45.39400000000004 0 3623 4854 1595 3838 5703; 1 4985 5834 677 4436 3051 5234 3634 4446 1048 593 6109 3449 2411 5679 1324 5615 2730 1315 3259; 
56.58599999999993 0 9.70399999999997 1 46.88199999999999 0 3623 4854 1595 3838 5135; 1 4985 5834 677 4436 3051 5234 3634 4446 1048 593 6109 3449 2411 5679 1324 5615 2730 1315 3259 3348; 
58.19599999999995 0 9.655999999999965 1 48.539999999999985 0 3623 4854 1595 3838 5135; 1 4985 5834 677 4436 3051 5234 3634 4446 1048 593 6109 3449 2411 5679 1324 5615 2730 1315 3348 3259 4812; 
59.811999999999955 0 10.741999999999967 1 49.070000000000014 0 3623 4854 1595 3838 5135 5; 1 4985 5834 677 4436 3051 5234 3634 4446 1048 593 6109 3449 2411 5679 1324 5615 2730 1315 3348 3259 4812; 
61.691999999999986 0 10.919999999999963 1 50.77200000000001 0 3623 4854 1595 3838 5135 5; 1 4985 5834 677 4436 3051 5234 3634 4446 1048 593 6109 3449 2411 5679 1324 5615 2730 1315 3348 3259 4812 639; 
62.806000000000054 0 12.087999999999958 1 50.717999999999996 0 3623 4854 1595 3838 5 5135 5703; 1 5834 593 639 4812 3051 5234 3634 4446 1048 6109 3449 2411 3259 5615 2730 4985 1324 5679 4436 677 1315 817; 
64.30800000000006 0 12.087999999999955 1 52.21999999999995 0 3623 4854 1595 3838 5 5135 5703; 1 5834 593 639 4812 3051 5234 3634 4446 1048 6109 3449 2411 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945; 
65.75799999999997 0 12.209999999999962 1 53.547999999999966 0 3623 4854 1595 3838 5 5135 5703; 1 5834 593 639 4812 3051 5234 3634 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945; 
67.93599999999995 0 13.33599999999995 1 54.59999999999986 0 3623 4854 1595 3838 5 5135 5703 1198; 1 5834 593 639 4812 3051 5234 3634 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945; 
69.13200000000008 0 13.451999999999972 1 55.679999999999886 0 3623 4854 1595 3838 5 5135 5703 1198; 1 5834 593 639 4812 3051 5234 3634 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945 605; 
69.40800000000009 0 14.331999999999955 1 55.07599999999995 0 3623 4854 1595 3838 5 5135 5703 1198 1494; 1 5834 593 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945 605; 
71.63400000000011 0 14.34599999999996 1 57.28799999999993 0 3623 4854 1595 3838 5 5135 5703 1198 1494; 1 5834 593 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945 605 3721; 
72.8340000000001 0 14.387999999999963 1 58.44599999999994 0 3623 4854 1595 3838 5 5135 5703 1198 1494; 1 5834 593 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945 605 3721 1628; 
75.28200000000007 0 14.603999999999973 1 60.67799999999996 0 3623 4854 1595 3838 5 5135 5703 1198 1494; 1 5834 593 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 817 4945 605 3721 1628 1291; 
76.74800000000005 0 14.869999999999958 1 61.87799999999995 0 5463 1595 3838 5 5135 3300 5703 1198 1494; 1 5834 593 2333 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 4945 605 3721 1540 1291 4980; 
78.13200000000013 0 14.85399999999996 1 63.278000000000006 0 5463 1595 3838 5 5135 3300 1494 5703 1198; 1 5834 593 2333 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 4980 3721 1540 4945 1291 605 5338; 
80.40200000000009 0 14.813999999999956 1 65.58799999999995 0 5463 1595 3838 5 5135 3300 1494 5703 1198; 1 5834 593 2333 639 4812 3051 5234 2113 4446 1048 6109 3449 2411 3348 3259 5615 2730 4985 1335 5679 4436 677 1315 4980 3721 1540 4945 1291 605 5338 6097; 
