4.271999999999971 0 0.4080000000000003 1 3.863999999999973 0 1 1335; 
7.733999999999973 0 0.7120000000000005 1 7.021999999999969 0 1 1335 5234; 
10.733999999999977 0 1.0340000000000007 1 9.699999999999966 0 1 1335 5234 1315; 
14.105999999999966 0 1.296000000000001 1 12.809999999999977 0 1 1315 5234 1335 3634; 
17.525999999999968 0 1.5540000000000012 1 15.971999999999973 0 1 1315 5234 1335 3634 4980; 
19.40599999999998 0 1.8480000000000014 1 17.557999999999964 0 1 1315 5234 1335 3634 4980 3259; 
21.597999999999985 0 2.0000000000000013 1 19.597999999999974 0 1 3634 4980 5234 1315 1335 3259 1048; 
23.609999999999953 0 3.305999999999984 1 20.303999999999977 0 5135; 1 3634 4980 5234 1315 1335 3259 1048; 
25.527999999999956 0 3.353999999999979 1 22.17399999999997 0 5135; 1 3634 4980 5234 1315 1335 3259 1048 593; 
28.187999999999974 0 4.82799999999997 1 23.36 0 5135 3623; 1 3634 4980 5234 1315 1335 3259 1048 593; 
29.863999999999965 0 4.747999999999971 1 25.115999999999975 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679; 
31.537999999999958 0 6.081999999999973 1 25.455999999999964 0 3623 5135 5463; 1 1048 1335 5234 1315 3634 593 3259 4980 5679; 
35.05799999999997 0 6.239999999999969 1 28.817999999999998 0 3623 5135 5463; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 5615; 
36.442000000000014 0 6.407999999999961 1 30.033999999999978 0 3623 5135 5463; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 5615 3348; 
38.21800000000001 0 6.647999999999966 1 31.56999999999996 0 3623 5135 5463; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 5615 3348 4985; 
40.98200000000002 0 5.785999999999972 1 35.196000000000005 0 3623 5135; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 5615 3348 4985 205 4812; 
44.05000000000004 0 5.977999999999973 1 38.07199999999999 0 3623 5135; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 5615 3348 4985 205 4812 97; 
45.209999999999994 0 6.061999999999971 1 39.147999999999996 0 3623 5135; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 4812 4985 97 205 5615 3348 5834; 
47.59600000000001 0 6.171999999999969 1 41.42399999999999 0 3623 5135; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 4812 4985 97 205 5615 3348 5834 677; 
50.356 0 6.499999999999971 1 43.85600000000003 0 3623 5135; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338; 
51.61799999999996 0 6.5739999999999625 1 45.04400000000002 0 3623 5135; 1 1048 1335 5234 1315 3634 593 5351 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4436; 
53.29199999999997 0 6.693999999999966 1 46.59800000000004 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4436 5351; 
53.95799999999997 0 6.351999999999971 1 47.605999999999966 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4436 5351 2787; 
57.517999999999965 0 7.193999999999964 1 50.32399999999997 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4436 5351 2787 1628; 
59.41599999999995 0 7.06999999999997 1 52.346000000000025 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4436 5351 2787 1628 3030; 
60.65400000000006 0 7.117999999999973 1 53.535999999999945 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4436 2806 2787 1628 3030 4446; 
61.742000000000026 0 7.185999999999972 1 54.5559999999999 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4446 1628 4436 2787 3030 2806 5107; 
63.30999999999995 0 7.155999999999966 1 56.153999999999954 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 205 97 5834 5615 3348 4812 4985 5338 4446 1628 4436 2787 3030 5351 5107 1448; 
64.93800000000003 0 7.225999999999967 1 57.71199999999999 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 586 97 5834 5615 3348 4812 4985 5338 4446 1628 4436 2787 3030 5351 5107 1448 205; 
66.44399999999999 0 7.331999999999963 1 59.11199999999995 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 586 97 5834 5615 3348 4812 4985 5338 4446 1628 4436 2787 3030 5351 5107 205 1448 2806; 
69.38000000000008 0 7.59399999999997 1 61.78599999999995 0 3623 5135; 1 1048 1335 5234 1315 3634 593 3259 4980 5679 677 586 97 5834 5615 3348 4812 4985 5338 4446 1628 4436 2787 3030 5351 5107 205 1448 2806 3449; 
68.994 0 9.411999999999967 1 59.58199999999997 0 3623 5135 82 4854; 1 1048 1335 5234 1315 3634 593 4980 5679 677 586 97 5834 5615 3348 4812 4985 5338 4446 1628 4436 2787 3030 5351 5107 205 1448 2806 3449; 
72.51400000000008 0 8.699999999999969 1 63.81400000000001 0 4854 3623 5135; 1 1335 5615 5834 205 3030 586 677 4436 5338 1048 5351 97 1448 3449 3348 2787 4980 3259 5107 593 4985 4812 3634 1628 4446 2806 1315 5234 5679 3782; 
73.02400000000004 0 8.70599999999997 1 64.31799999999997 0 4854 3623 5135; 1 1335 5615 5834 205 3030 586 677 4436 5338 1048 5351 97 1448 3449 3348 2787 4980 3259 5107 593 4985 4812 3634 1628 4446 2806 1315 5234 5679 3782 6097; 
74.13400000000016 0 8.751999999999974 1 65.382 0 4854 3623 5135; 1 1335 5615 5834 205 3030 586 677 4436 5338 1048 5351 97 1448 3449 3348 2787 4980 3259 5107 593 4985 4812 3634 1628 4446 2806 1315 5234 5679 3782 6097 639; 
76.44400000000007 0 8.999999999999963 1 67.44400000000007 0 4854 3623 5135; 1 1335 5615 5834 205 3030 586 677 4436 5338 1048 5351 97 1448 3449 3348 2787 4980 3259 5107 593 4985 4812 3634 1628 4446 2806 1315 5234 5679 3782 6097 639 2730; 
77.56400000000005 0 9.035999999999973 1 68.52800000000009 0 4854 3623 5135; 1 1335 5615 5834 205 3030 586 677 4436 5338 1048 5351 97 1448 3449 3348 2787 4980 3259 5107 593 4985 4812 3634 1628 4446 2806 1315 5234 5679 3782 6097 639 2730 5528; 
