4.421999999999967 0 0.3780000000000003 1 4.0439999999999685 0 ; 1 1335;
8.085999999999968 0 0.7100000000000005 1 7.3759999999999675 0 ; 1 1335 5351;
10.799999999999965 0 0.9720000000000008 1 9.827999999999962 0 ; 1 1335 5351 5234;
13.775999999999962 0 1.288000000000001 1 12.487999999999968 0 ; 1 5351 1335 5234 205;
16.645999999999983 0 1.362000000000001 1 15.283999999999967 0 ; 1 1335 5234 5351 205 677;
18.467999999999964 0 1.432000000000001 1 17.035999999999966 0 ; 1 1335 5234 5351 205 677 4209;
21.81199999999999 0 1.7320000000000013 1 20.079999999999977 0 ; 1 1335 5234 5351 205 677 4209 6109;
24.277999999999974 0 2.0040000000000013 1 22.273999999999965 0 ; 1 1335 5234 5351 205 677 4209 6109 3449;
27.081999999999958 0 2.3099999999999934 1 24.77199999999997 0 ; 1 1335 5234 5351 205 677 4209 6109 3449 3634;
29.527999999999977 0 2.5659999999999905 1 26.96199999999998 0 ; 1 1335 5234 5351 205 677 4209 6109 3449 3634 4812;
31.431999999999963 0 2.6279999999999872 1 28.80399999999997 0 ; 1 1335 5234 5351 205 677 4209 6109 3449 3634 4812 3854;
32.63599999999998 0 2.475999999999991 1 30.15999999999996 0 ; 1 677 1324 3634 3449 6109 4812 205 3854 5351 4209 5234 4980;
35.028 0 2.8139999999999876 1 32.21399999999996 0 ; 1 677 1267 3634 3449 6109 4812 2628 3854 5351 4209 5234 4980 5107;
36.88999999999997 0 2.9959999999999853 1 33.89399999999998 0 ; 1 677 1267 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 5107 1424;
39.13800000000001 0 3.163999999999984 1 35.97399999999996 0 ; 1 677 1267 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 5107 1424 5306;
40.72 0 4.309999999999973 1 36.40999999999998 0 16; 1 677 1267 3634 3449 6109 205 3854 5351 4209 5234 4980 5107 1424 5306 1315;
43.17 0 4.481999999999974 1 38.68800000000001 0 16; 1 677 1267 3634 3449 6109 205 3854 5351 4209 5234 4980 5107 1424 5306 1315 5879;
44.628 0 4.5339999999999785 1 40.09399999999999 0 16; 1 677 1267 3634 3449 6109 205 3854 5351 4209 5234 2317 5107 1424 5306 1315 5879 4985;
47.251999999999995 0 4.7839999999999705 1 42.46799999999994 0 16; 1 677 1267 3634 3449 6109 205 3854 5351 4209 5234 4980 5107 1424 5306 1315 5879 4985 97;
50.595999999999975 0 4.207999999999974 1 46.387999999999955 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 5306 3374 5107 1315 5879 4985 1424 1324;
51.38999999999999 0 4.15399999999998 1 47.23600000000003 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 5306 3374 5107 1315 5879 4985 1424 1324 1009;
53.50600000000001 0 4.231999999999978 1 49.274000000000036 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 1009 5879 5107 1315 1324 4985 1424 5306 3374 434;
55.30999999999994 0 4.291999999999976 1 51.01799999999998 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 1009 5879 5107 1315 1324 4985 1424 5306 3374 434 775;
55.93799999999995 0 5.383999999999975 1 50.55399999999993 0 2055; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 1009 5879 5107 1315 1324 4985 1424 5306 3374 434 775;
59.153999999999954 0 4.799999999999971 1 54.35399999999993 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 1009 5879 5107 1315 1324 4985 1424 5306 3374 434 1628 1448 5370;
60.839999999999996 0 4.683999999999976 1 56.156000000000006 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 1009 5879 5107 1315 1324 4985 1424 5306 3374 434 1628 1448 5370 947;
62.33399999999994 0 5.001999999999969 1 57.331999999999994 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 1009 5879 5107 1315 1324 4985 1424 5306 3374 434 1628 1448 5370 947 2730;
63.031999999999975 0 4.8699999999999735 1 58.16199999999999 0 ; 1 677 1335 3634 3449 6109 4812 205 3854 5351 4209 5234 4980 724 5879 5107 1315 1324 4985 1424 5306 3374 434 1628 1448 5370 947 2730 2628;
65.63200000000006 0 5.049999999999974 1 60.581999999999944 0 ; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 4985 434 677 4980 1628 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237;
66.962 0 5.191999999999978 1 61.769999999999975 0 ; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 4985 434 677 4980 1628 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 4727;
67.91400000000004 0 5.197999999999969 1 62.71599999999996 0 ; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 4985 434 677 4980 1628 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 4727 586;
69.31400000000004 0 5.265999999999965 1 64.048 0 ; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 4985 434 677 4980 1628 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 4727 586 1938;
70.37400000000012 0 5.3339999999999685 1 65.04000000000002 0 ; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 4985 434 677 4980 1628 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 4727 1938 586 3030;
71.12599999999999 0 6.4779999999999704 1 64.64800000000005 0 2055; 1 1335 2730 3634 1315 6109 775 5306 3374 5351 5370 72 434 677 4980 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 4727 1938 586 3030 2855;
72.82800000000012 0 6.491999999999967 1 66.33600000000003 0 2055; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 72 434 677 4980 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 3030 586 2855 4727 1938 822;
74.60200000000013 0 6.625999999999968 1 67.97600000000006 0 2055; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 72 434 677 4980 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 3030 586 2855 4727 1938 822 3259;
76.04400000000021 0 6.74999999999997 1 69.2940000000001 0 2055; 1 1335 2730 3634 1315 6109 1448 5306 3374 5351 5370 72 434 677 4980 2628 1324 5234 1424 5879 4209 724 3854 205 4812 3449 5107 947 1237 3030 586 2855 4727 1938 822 3259 737;
77.73200000000008 0 6.755999999999968 1 70.9760000000001 0 2055; 1 1237 3030 3634 1315 6109 1448 5306 3374 5351 5370 72 434 677 4980 2855 1324 5234 586 5879 4209 3259 3854 205 4812 3449 5107 737 1335 947 4727 724 822 1938 1424 2628 2730 3314;
78.94800000000014 0 6.67199999999996 1 72.27600000000011 0 2055; 1 1237 3030 3634 1315 6109 1448 5306 3374 5351 5370 72 434 677 4980 2855 1324 5234 586 5879 4209 3259 3854 205 4812 3449 5107 737 1335 947 4727 1009 822 1938 1424 2628 2730 3314 5513;
80.67000000000012 0 6.941999999999971 1 73.72800000000024 0 2055; 1 1237 3030 3634 1315 6109 1448 5306 3374 5351 5370 72 434 677 4980 2855 1324 5234 586 5879 4209 3259 3854 205 4812 3449 5107 737 1335 947 4727 1009 5615 1938 1424 2628 2730 3314 5513 1849;
