3.1819999999999764 0 0.33200000000000024 1 2.8499999999999797 0 ; 1 4980;
6.015999999999969 0 0.5980000000000004 1 5.417999999999969 0 ; 1 4980 5785;
7.947999999999971 0 1.8840000000000015 1 6.063999999999977 0 3623; 1 4980 5785;
9.967999999999961 0 3.0739999999999865 1 6.893999999999968 0 3623 3838; 1 4980 5785;
12.899999999999972 0 3.4119999999999844 1 9.487999999999964 0 3623 3838; 1 5785 4980 586;
15.127999999999975 0 4.591999999999971 1 10.53599999999996 0 3623 3838 1595; 1 5785 4980 586;
16.535999999999966 0 5.7559999999999665 1 10.779999999999967 0 3623 3838 1595 5135; 1 5785 4980 586;
20.30599999999997 0 6.01199999999997 1 14.293999999999976 0 3623 3838 1595 5135; 1 5785 4980 586 5234;
22.555999999999987 0 6.201999999999966 1 16.353999999999974 0 3623 3838 1595 5135; 1 5785 4980 586 5234 6097;
24.677999999999972 0 7.291999999999965 1 17.385999999999964 0 3623 3838 1595 5135 4854; 1 5785 4980 586 5234 6097;
26.547999999999973 0 7.527999999999972 1 19.019999999999975 0 3623 3838 1595 5135 4854; 1 5785 4980 586 5234 6097 817;
29.539999999999964 0 7.83399999999996 1 21.705999999999985 0 3623 3838 1595 5135 4854; 1 5785 4980 586 5234 6097 817 1628;
31.71399999999996 0 7.907999999999964 1 23.80599999999995 0 3623 3838 1595 5135 4854; 1 5785 4980 586 5234 6097 817 1628 4812;
33.98599999999997 0 8.221999999999971 1 25.763999999999957 0 3623 3838 1595 5135 4854; 1 5785 4980 586 5234 6097 817 1628 4812 3259;
35.41399999999997 0 7.255999999999957 1 28.15799999999998 0 3623 3838 1595 4854; 1 5785 4980 586 3232 5234 6097 817 1628 4812 3259 5082;
37.211999999999996 0 7.40599999999997 1 29.805999999999965 0 3838 3623 4854 1595; 1 5785 4812 817 6097 3232 5234 1628 4980 5082 3259 586 1048;
38.897999999999975 0 8.613999999999963 1 30.28399999999999 0 3838 3623 4854 5135 1595; 1 5785 4812 817 6097 5234 1628 4980 5082 3259 586 1048 3348;
41.990000000000016 0 8.769999999999962 1 33.21999999999998 0 3838 3623 4854 5135 1595; 1 5785 4812 817 6097 5234 1628 4980 5082 3259 586 1048 3348 3634;
43.72400000000002 0 8.943999999999967 1 34.78000000000001 0 3838 3623 4854 5135 1595; 1 5785 4812 817 6097 5234 1628 4980 5082 3259 586 1048 3348 3634 1315;
46.378000000000014 0 9.16999999999996 1 37.208 0 3838 3623 4854 5135 1595; 1 5785 4812 817 6097 5234 1628 4980 5082 3259 586 1048 3348 3634 1315 4985;
47.692000000000014 0 9.159999999999977 1 38.53199999999999 0 3838 3623 4854 5135 1595; 1 5785 4812 817 6097 5234 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051;
49.01600000000004 0 10.289999999999967 1 38.72600000000002 0 3838 3623 4854 5135 1595 5140; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109;
50.87399999999999 0 10.451999999999952 1 40.42200000000001 0 3838 3623 4854 5135 1595 5140; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411;
53.64999999999996 0 10.63799999999996 1 43.012000000000015 0 3838 3623 4854 5135 1595 5140; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411 1335;
55.40199999999994 0 10.79599999999996 1 44.60600000000005 0 3838 3623 4854 5135 1595 5140; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411 1335 3782;
57.11999999999996 0 10.875999999999971 1 46.244 0 3838 3623 4854 5135 1595 5140; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411 1335 3782 507;
59.243999999999964 0 11.245999999999976 1 47.998 0 4241 3623 4854 5135 1595 5140; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411 1335 3782 507 97;
60.82799999999997 0 12.061999999999946 1 48.76599999999994 0 4241 3623 4854 5135 1595 5140 4171; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411 1335 3782 507 97;
61.903999999999975 0 11.969999999999951 1 49.93399999999998 0 4241 3623 4854 5135 1595 5140 4171; 1 5785 4812 817 6097 1628 4980 5082 3259 586 1048 3634 3348 1315 4985 3051 6109 2411 1335 3782 507 97 593;
64.03200000000002 0 12.257999999999953 1 51.77399999999995 0 4241 3623 4854 4171 5135 1595 5140; 1 1048 586 1335 507 4980 3348 3259 2411 1315 3051 3634 5785 4985 593 6109 5082 1628 3782 97 6097 817 4812 3449;
65.174 0 12.597999999999946 1 52.576 0 4241 3623 4854 4171 5135 1595 5140; 1 1048 586 1335 507 4980 3348 3259 2411 1315 3051 3634 5785 4985 593 6109 5082 1628 3782 97 6097 817 4812 3449 813;
