3.861999999999971 0 0.32000000000000023 1 3.541999999999975 0 1 5234; 
6.913999999999965 0 0.6060000000000004 1 6.307999999999967 0 1 5234 4980; 
9.169999999999966 0 1.9660000000000015 1 7.203999999999968 0 3623; 1 5234 4980; 
12.217999999999972 0 2.2279999999999953 1 9.989999999999961 0 3623; 1 5234 4980 1048; 
14.865999999999978 0 2.45199999999999 1 12.413999999999968 0 3623; 1 5234 4980 1048 593; 
16.19599999999996 0 3.65199999999998 1 12.543999999999983 0 3623 4854; 1 5234 4980 1048 593; 
19.059999999999974 0 4.0119999999999765 1 15.047999999999973 0 3623 4854; 1 5234 4980 1048 593 5785; 
20.889999999999972 0 4.119999999999975 1 16.769999999999975 0 4854 3623; 1 4980 5785 5234 1048 593 5082; 
23.889999999999972 0 4.565999999999972 1 19.323999999999966 0 4854 3623; 1 4980 5785 5234 1048 593 5082 2411; 
27.68 0 3.4939999999999776 1 24.185999999999986 0 3623; 1 4980 5785 4462 5234 1048 593 5082 2411 1335; 
27.78399999999996 0 4.767999999999973 1 23.015999999999977 0 3623 1198; 1 4980 5785 4462 5234 4036 593 5082 1335 3348; 
31.07999999999998 0 3.975999999999975 1 27.103999999999978 0 3623; 1 4980 5785 205 5234 4036 593 5082 2411 1335 3348 3449; 
33.80799999999998 0 5.129999999999972 1 28.677999999999944 0 5 3623; 1 5785 205 5234 4036 593 5082 1335 3348 2411 3449 586; 
35.81199999999996 0 4.209999999999967 1 31.601999999999986 0 3623; 1 4980 5785 205 5234 1048 593 5082 1335 3348 2411 3449 586 5107; 
37.43199999999998 0 4.321999999999975 1 33.10999999999996 0 3623; 1 4980 5785 205 5234 1048 593 5082 1335 3348 2411 3449 586 5107 3634; 
40.22600000000002 0 4.823999999999967 1 35.40199999999997 0 3623; 1 4980 5785 205 5234 1048 593 5082 1335 3348 2411 3449 586 5107 3634 4985; 
42.45599999999997 0 5.901999999999975 1 36.55400000000001 0 3623 1198; 1 4980 5785 205 5234 4036 593 5082 3634 4985 3348 1335 5107 3449 586 2382; 
43.98199999999998 0 6.007999999999967 1 37.97399999999997 0 3623 1198; 1 4980 5785 205 5234 4036 593 5082 3634 4985 3348 1335 5107 3449 586 2382 3939; 
45.41599999999993 0 6.185999999999968 1 39.22999999999998 0 3623 1198; 1 4980 5785 205 5234 4036 593 5082 3634 4985 3348 1335 5107 3449 586 2382 3939 817; 
47.542000000000016 0 6.205999999999966 1 41.336000000000055 0 3623 1198; 1 4980 5785 205 5234 4036 593 5082 3634 4985 3348 1335 5107 3449 586 2382 3939 817 6109; 
48.92000000000001 0 7.435999999999971 1 41.484000000000016 0 3623 1198 3838; 1 4980 5785 205 5234 1048 593 5082 3634 4985 3348 1335 5107 3449 586 2382 3939 817 6109; 
50.56600000000002 0 8.351999999999967 1 42.21400000000002 0 3623 4762 1198 3838; 1 4980 5785 205 5234 593 5082 3634 4985 3348 1335 5107 3449 947 2382 3939 6109 817 97; 
52.695999999999984 0 8.50399999999997 1 44.192 0 3623 4762 1198 3838; 1 4980 5785 205 5234 593 5082 3634 4985 3348 1335 5107 3449 947 2382 3939 6109 817 97 639; 
53.636000000000024 0 8.561999999999976 1 45.07400000000002 0 3623 4762 1198 3838; 1 4980 5785 205 5234 593 5082 3634 4985 3348 1335 5107 3449 947 2382 3939 6109 817 97 639 2730; 
55.59199999999995 0 8.857999999999972 1 46.733999999999995 0 3623 3838 1198 4762; 1 4985 3348 205 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812; 
56.383999999999965 0 8.923999999999966 1 47.460000000000015 0 3623 3838 1198 4762; 1 4985 3348 205 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812 5338; 
58.94399999999994 0 9.067999999999971 1 49.87599999999995 0 3623 3838 1198 4762; 1 4985 3348 205 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812 5338 3782; 
61.084 0 8.061999999999967 1 53.02200000000001 0 3838 1198 4762; 1 4985 3348 205 2333 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812 5338 3782 2659; 
63.16199999999996 0 8.265999999999956 1 54.89599999999999 0 3838 1198 4762; 1 4985 3348 205 2333 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812 5338 3782 2659 3010; 
65.03999999999998 0 9.69799999999996 1 55.34199999999991 0 3623 3838 1198 4762; 1 4985 3348 205 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812 5338 3782 2659 3010 1315; 
66.434 0 10.519999999999952 1 55.91399999999994 0 3623 3838 1198 4762 5135; 1 4985 3348 205 5234 3939 947 4980 593 5082 1335 5107 97 2382 3634 3449 817 6109 639 2730 5785 4812 5338 3782 2659 3010 1315; 
68.17400000000009 0 10.79599999999997 1 57.37799999999992 0 3623 5135 3838 1198 4762; 1 3348 2382 205 3939 947 4980 3782 5082 1335 5107 3010 2659 3634 3449 817 6109 639 2730 1315 5785 4985 97 593 5234 5338 4812 5615; 
69.61600000000001 0 10.815999999999969 1 58.799999999999976 0 3623 5135 3838 1198 4762; 1 3348 2382 205 3939 586 4980 3782 5082 1335 5107 3010 2659 3634 3449 817 6109 639 2730 1315 5785 4985 97 593 5234 5338 4812 5615 1628; 
71.25600000000006 0 10.931999999999958 1 60.323999999999955 0 3623 5135 3838 1198 4762; 1 3348 2382 205 3939 586 4980 3782 5082 1335 5107 3010 2659 3634 3449 817 6109 639 2730 1315 5785 4985 97 593 5234 5338 4812 5615 1628 3259; 
73.55000000000011 0 11.043999999999977 1 62.50599999999998 0 3623 5135 3838 1198 4762; 1 3348 2382 205 3939 586 4980 3782 5082 1335 5107 3010 2659 3634 3449 3341 6109 639 2730 1315 5785 4985 97 593 5234 5338 4812 5615 1628 3259 2317; 
73.78200000000008 0 10.96799999999996 1 62.814000000000014 0 3623 5135 3838 1198 4762; 1 3348 2382 205 3939 586 4980 3782 5082 1335 5107 3010 2659 3634 3449 3341 6109 639 2730 1315 5785 4985 97 593 5234 5338 4812 5615 1628 3259 2317 2993; 
75.87800000000018 0 11.067999999999957 1 64.81000000000003 0 3623 5135 3838 1198 4762; 1 3348 2382 205 3939 586 4980 3782 5082 1335 5107 3010 2659 3634 3449 3341 6109 639 2730 1315 5785 4985 97 593 5234 5338 4812 5615 1628 3259 2993 2317 5834; 
77.20200000000006 0 12.107999999999974 1 65.09400000000001 0 3623 5135 3838 1198 4762 1595; 1 3348 2382 205 3939 586 4980 3782 5082 1335 5107 3010 2659 3634 3449 3341 6109 639 2730 1315 5785 4209 97 593 5234 5338 4812 5615 1628 3259 2993 2317 5834; 
78.88400000000003 0 13.191999999999949 1 65.69200000000001 0 3623 5135 3838 3337 4762 1595 4257; 1 3348 2382 205 3939 586 4980 3782 2411 5082 1335 5107 3010 2659 2113 3449 3341 6109 2730 1315 5785 4209 97 593 5234 5338 4812 5615 1628 3259 2993 2317 5834; 
79.66200000000013 0 12.993999999999955 1 66.66800000000003 0 3623 5135 3838 3337 4762 4257 1595; 1 3348 2382 205 3939 586 4980 3782 2411 5082 1335 5107 3010 2659 2113 3449 3341 6109 2730 1315 5785 4985 97 593 5234 5338 4812 5615 1628 2993 2317 5834 3259 2787; 
