2.0939999999999968 0 0.12000000000000006 1 1.9740000000000015 0 1 4018; 
3.5939999999999883 0 0.16200000000000012 1 3.431999999999989 0 1 4018 319; 
6.493999999999974 0 0.45400000000000035 1 6.0399999999999805 0 1 4018 319 3292; 
7.759999999999964 0 1.5500000000000012 1 6.209999999999974 0 3307; 1 4018 319 3292; 
10.005999999999965 0 1.6580000000000013 1 8.347999999999963 0 3307; 1 4018 319 3292 4633; 
10.801999999999964 0 2.695999999999992 1 8.10599999999996 0 3307 5625; 1 3292 4633 4018 319; 
12.893999999999972 0 3.8679999999999697 1 9.025999999999955 0 3307 5625 3300; 1 3292 4633 4018 319; 
15.307999999999964 0 4.073999999999969 1 11.233999999999963 0 3307 5625 3300; 1 3292 4633 4018 319 5679; 
16.265999999999966 0 5.013999999999975 1 11.251999999999967 0 3307 5625 3300 2014; 1 3292 4633 4018 319 5679; 
18.631999999999962 0 5.139999999999972 1 13.491999999999965 0 5625 2014 3300 3307; 1 4633 4018 5679 3292 319 970; 
19.70399999999996 0 6.2319999999999505 1 13.471999999999982 0 5625 2014 3300 3307 5474; 1 4633 4018 5679 3292 319 970; 
21.94799999999996 0 6.437999999999951 1 15.509999999999973 0 5625 2014 3300 3307 5474; 1 4633 4018 5679 3292 319 970 3090; 
24.143999999999988 0 6.359999999999955 1 17.783999999999985 0 3300 2014 5474 3307 5625; 1 970 4633 4018 5679 319 3292 3090 3341; 
26.12399999999997 0 6.599999999999951 1 19.52399999999995 0 3300 2014 5474 3307 5625; 1 970 4633 4018 5679 319 3292 3090 3341 3282; 
27.649999999999967 0 6.609999999999945 1 21.039999999999992 0 3300 2014 5474 3307 5625; 1 970 4633 4018 5679 319 3292 3090 3341 3282 1847; 
28.15199999999998 0 7.669999999999971 1 20.48199999999998 0 3300 2014 5474 3307 5625 5906; 1 970 4633 4018 5679 319 3292 3090 3341 3282 1847; 
30.15999999999997 0 7.735999999999973 1 22.423999999999985 0 3300 2014 5474 3307 5625 5906; 1 970 4633 4018 5679 319 3292 3090 3341 3282 1847 883; 
32.465999999999944 0 7.799999999999977 1 24.66599999999998 0 3300 2014 5474 3307 5625 5906; 1 970 4633 4018 5679 319 3292 3090 3341 3282 1847 883 4992; 
35.25 0 9.225999999999987 1 26.02399999999999 0 3300 2014 5474 3307 5625 5906 1595; 1 970 4633 4018 5679 319 3292 3090 3341 3282 1847 883 4992; 
35.61799999999998 0 9.147999999999973 1 26.470000000000002 0 1595 5474 3307 3300 5625 5906 2014; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577; 
37.61399999999997 0 9.343999999999976 1 28.269999999999992 0 1595 5474 3307 3300 5625 5906 2014; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 4279; 
40.26599999999998 0 9.49399999999997 1 30.771999999999984 0 1595 5474 3307 3300 5625 5906 2014; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 4279 2333; 
41.44400000000001 0 9.529999999999967 1 31.913999999999955 0 1595 5474 3307 3300 5625 5906 2014; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 4279 2333 11; 
43.11600000000005 0 9.53399999999997 1 33.58199999999999 0 1595 5474 3307 3300 5625 5906 2014; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 4279 2333 11 3463; 
44.826000000000015 0 10.67399999999997 1 34.15199999999998 0 1595 5474 3307 3300 5625 5906 2014 1155; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463; 
45.878 0 10.687999999999969 1 35.19 0 1595 5474 3307 3300 5625 5906 2014 1155; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 1967; 
47.662 0 10.78399999999996 1 36.87800000000001 0 1595 5474 3307 3300 5625 5906 2014 1155; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 1967 74; 
48.921999999999976 0 10.915999999999965 1 38.006000000000014 0 1595 5474 3307 3300 5625 5906 2014 1155; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 1967 74 3644; 
50.10599999999998 0 11.843999999999946 1 38.26200000000002 0 1595 5474 3307 3300 5625 5906 2014 1155 1550; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 3644 74 1967; 
51.08999999999996 0 13.013999999999962 1 38.07599999999997 0 1595 5474 3307 3300 5625 5906 2014 1155 1550 5345; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 3644 74 1967; 
53.93799999999997 0 13.067999999999945 1 40.87000000000001 0 1595 5474 3307 3300 5625 5906 2014 1155 1550 5345; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 3644 74 1967 1324; 
55.44999999999994 0 13.081999999999947 1 42.36800000000001 0 1595 5474 3307 3300 5625 5906 2014 1155 1550 5345; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 1967 74 3644 1324 616; 
58.52199999999996 0 13.44199999999996 1 45.08 0 1595 5474 3307 3300 5625 5906 2014 1155 1550 5345; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 2333 4279 11 3463 1967 74 3644 1324 616 3364; 
60.148 0 13.319999999999956 1 46.82799999999994 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343; 
61.795999999999914 0 13.56799999999994 1 48.22799999999996 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343 1875; 
63.356 0 13.671999999999946 1 49.68399999999997 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343 1875 5913; 
65.01999999999998 0 13.779999999999943 1 51.23999999999997 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343 1875 5913 2375; 
66.64000000000004 0 13.74199999999995 1 52.897999999999925 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343 5913 2375 1875 3010; 
67.6900000000001 0 14.853999999999951 1 52.835999999999956 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550 56; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343 5913 2375 1875 3010; 
70.2800000000001 0 15.153999999999945 1 55.12599999999997 0 1595 5474 3307 3300 5625 5906 2014 5345 1155 1550 56; 1 3341 3282 4633 4018 5679 319 3292 3090 970 4992 883 1847 3577 3364 1324 3463 3644 1967 74 616 2333 11 4279 2343 3010 1875 5913 2375 1119; 
