4.029999999999976 0 0.44200000000000034 1 3.5879999999999783 0 1 5234; 
6.8219999999999645 0 0.6620000000000005 1 6.159999999999971 0 1 5234 4985; 
11.163999999999966 0 1.1140000000000008 1 10.049999999999958 0 1 5234 4985 1335; 
14.189999999999964 0 1.314000000000001 1 12.875999999999964 0 1 5234 1335 4985 5351; 
16.653999999999968 0 1.5340000000000011 1 15.119999999999974 0 1 5234 1335 4985 5351 4436; 
19.327999999999964 0 1.7440000000000013 1 17.583999999999968 0 1 5234 1335 4985 5351 4436 3259; 
21.853999999999992 0 2.0360000000000005 1 19.81799999999998 0 1 5351 4436 1335 5234 4985 3259 4980; 
24.225999999999985 0 2.2579999999999947 1 21.967999999999954 0 1 5351 4436 1335 5234 4985 3259 4980 4812; 
25.50999999999998 0 3.2539999999999805 1 22.255999999999958 0 3838; 1 5351 4436 1335 5234 4985 2113 4980 2628; 
27.813999999999933 0 4.523999999999969 1 23.28999999999998 0 5463 3838; 1 5351 4436 1335 5234 4985 2113 4980 5107; 
29.897999999999954 0 4.493999999999983 1 25.40399999999999 0 5463 3838; 1 5351 4436 1335 5234 4985 2113 4980 5107 97; 
31.872 0 4.741999999999968 1 27.129999999999985 0 3838 5463; 1 5351 4436 1335 5234 4985 2113 4980 4812 5107 97; 
34.35200000000001 0 4.959999999999968 1 29.39199999999996 0 3838 5463; 1 5351 4436 1335 5234 4985 2113 4980 4812 5107 97 2411; 
36.90200000000001 0 5.251999999999973 1 31.649999999999956 0 5463 3838; 1 4436 97 1335 5234 4985 4812 4980 5351 2113 2411 5107 813; 
38.91000000000002 0 5.3439999999999666 1 33.56599999999995 0 5463 3838; 1 4436 97 1335 5234 4985 4812 4980 5351 2113 2411 5107 813 677; 
39.543999999999976 0 5.323999999999968 1 34.21999999999996 0 5463 3838; 1 4436 97 1324 5234 695 4812 4980 5351 2113 2411 5107 813 677 593; 
42.110000000000035 0 5.59599999999997 1 36.51399999999998 0 5463 3838; 1 4436 97 1335 5234 695 4812 4980 5351 2113 2411 5107 813 677 3782 817; 
44.22399999999999 0 5.729999999999971 1 38.494000000000014 0 5463 3838; 1 4436 97 1335 5234 4985 4812 4980 5351 2113 2411 5107 813 677 817 3782 5679; 
46.29599999999996 0 6.7579999999999725 1 39.53799999999998 0 5463 3838 5135; 1 4436 97 1335 5234 4985 4812 4980 5351 2113 2411 5107 813 677 817 3782 5679; 
47.45199999999996 0 6.923999999999962 1 40.528000000000034 0 5463 3838 5135; 1 4436 97 1335 5234 4985 4812 4980 5351 2113 2411 5107 813 5679 3782 5528 677 1771; 
49.78999999999996 0 7.123999999999967 1 42.666000000000004 0 5463 3838 5135; 1 4436 97 1335 5234 4985 4812 4980 5351 2113 2411 5107 813 5679 3782 5528 677 1771 1315; 
