4.369999999999973 0 0.4100000000000003 1 3.9599999999999747 0 1 1335; 
8.30599999999996 0 0.7920000000000006 1 7.513999999999965 0 1 1335 5234; 
10.603999999999958 0 1.0040000000000007 1 9.599999999999962 0 1 1335 5234 4812; 
13.141999999999966 0 1.1960000000000008 1 11.945999999999975 0 1 1335 5234 4812 6109; 
17.237999999999964 0 1.6220000000000012 1 15.615999999999966 0 1 1335 5234 6109 4812 1315; 
19.085999999999938 0 1.9220000000000015 1 17.163999999999962 0 1 1335 5234 6109 4812 1315 1048; 
21.653999999999957 0 2.0399999999999996 1 19.613999999999965 0 1 1335 5234 6109 205 1315 1048 5615; 
24.545999999999992 0 2.2799999999999954 1 22.265999999999966 0 1 1335 1048 205 5234 1315 6109 5615 3634; 
26.971999999999966 0 3.6879999999999793 1 23.283999999999985 0 5135; 1 1335 1048 205 5234 1315 6109 5615 3634; 
29.305999999999962 0 3.739999999999973 1 25.565999999999967 0 5135; 1 1335 1048 205 5234 1315 6109 5615 3634 4436; 
30.863999999999972 0 3.8139999999999783 1 27.04999999999997 0 5135; 1 1335 1048 205 5234 1315 6109 5615 3634 4436 3259; 
33.628 0 4.043999999999974 1 29.583999999999985 0 5135; 1 1335 1048 205 5234 1315 6109 5615 3634 4436 3259 677; 
36.05199999999999 0 4.111999999999973 1 31.939999999999966 0 5135; 1 1335 1048 205 5234 1315 6109 5615 3634 4436 3259 677 1235; 
37.675999999999995 0 4.143999999999975 1 33.532 0 5135; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 1235 1009; 
39.88800000000002 0 4.605999999999972 1 35.282000000000025 0 5135; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 1235 1009 4985; 
40.82599999999998 0 4.747999999999972 1 36.07800000000003 0 5135; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 1235 1009 695 2411; 
43.67199999999998 0 5.873999999999969 1 37.79800000000003 0 5135 1595; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 1235 1009 695 2411; 
45.419999999999995 0 5.93399999999997 1 39.486000000000004 0 5135 1595; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 1235 1009 4985 2411 5730; 
48.15999999999999 0 6.239999999999962 1 41.92000000000003 0 5135 1595; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 97 1009 4985 2411 5730 4980; 
49.34799999999996 0 6.43599999999997 1 42.91200000000003 0 5135 1595; 1 3634 677 4812 5234 1315 1048 1335 3259 5615 4436 6109 97 1009 5730 4985 4980 2411 2659; 
