2.653999999999984 0 0.20000000000000015 1 2.453999999999988 0 1 5834; 
6.859999999999962 0 0.6400000000000005 1 6.219999999999964 0 1 5834 5234; 
9.181999999999956 0 1.9520000000000015 1 7.229999999999972 0 5135; 1 5834 5234; 
12.757999999999962 0 2.2579999999999942 1 10.499999999999973 0 5135; 1 5834 5234 1335; 
15.035999999999957 0 2.3759999999999937 1 12.659999999999945 0 5135; 1 5834 5234 1335 639; 
17.955999999999968 0 2.6899999999999844 1 15.265999999999943 0 5135; 1 5834 5234 1335 639 4980; 
21.34999999999997 0 3.0559999999999827 1 18.293999999999965 0 5135; 1 5834 5234 1335 639 4980 1315; 
23.215999999999998 0 3.019999999999983 1 20.195999999999977 0 5135; 1 5834 5234 1335 1315 4980 639 5107; 
25.38399999999994 0 3.163999999999984 1 22.21999999999998 0 5135; 1 5834 5234 1335 1315 4980 639 5107 4985; 
27.27799999999997 0 4.385999999999973 1 22.89199999999997 0 5135 1494; 1 5834 5234 1335 5107 639 4980 1315 4985; 
30.02199999999997 0 4.629999999999975 1 25.391999999999975 0 5135 1494; 1 5834 5234 1335 5107 639 4980 1315 4985 1628; 
32.48999999999999 0 4.863999999999968 1 27.62599999999997 0 5135 1494; 1 5834 5234 1335 5107 639 4980 1315 4985 1628 3348; 
34.12199999999997 0 5.083999999999971 1 29.037999999999982 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 1048; 
35.54400000000002 0 5.181999999999977 1 30.361999999999973 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082; 
38.077999999999975 0 5.533999999999979 1 32.54399999999994 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 593; 
40.425999999999966 0 5.72999999999997 1 34.696000000000026 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 593 5082 6109; 
42.165999999999954 0 5.591999999999969 1 36.57399999999998 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 593 5082 6109 205; 
44.168000000000006 0 5.781999999999972 1 38.386 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 1048 593 5082 6109 205 586; 
45.73400000000001 0 5.941999999999972 1 39.792000000000016 0 5135 1494; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 593 5082 6109 586 205 817; 
47.72199999999999 0 7.195999999999956 1 40.52599999999999 0 5135 1494 16; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 593 5082 6109 586 205 817; 
50.270000000000024 0 7.355999999999967 1 42.91399999999999 0 5135 1494 16; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 817 586 6109 205 593 5338; 
51.359999999999985 0 7.313999999999962 1 44.04599999999999 0 5135 1494 16; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 817 586 6109 205 593 5338 3634; 
53.41199999999995 0 7.429999999999959 1 45.982000000000035 0 5135 1494 16; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 5528 586 6109 205 593 5338 2113 3782; 
55.102000000000004 0 7.563999999999968 1 47.537999999999975 0 5135 1494 16; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 5528 586 6109 205 593 5338 2113 3782 5879; 
56.5599999999999 0 7.499999999999962 1 49.059999999999995 0 5135 1494 16; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 5528 586 6109 205 593 5338 2113 3782 5879 5679; 
58.21399999999989 0 8.635999999999969 1 49.577999999999975 0 5135 1494 16 3818; 1 5834 5234 1335 1315 4980 1628 4985 3348 5107 639 4036 5082 5528 586 6109 205 593 5338 2113 3782 5879 5679; 
57.82999999999994 0 10.467999999999975 1 47.361999999999945 0 5135 1494 1074 5119 16 3818; 1 5834 5234 1335 1315 4980 1628 5635 5107 639 4036 5082 586 6109 205 593 5338 2113 3782 5879 5679 3683; 
60.20999999999994 0 9.823999999999975 1 50.38599999999996 0 5135 1494 1074 5119 16; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 1048 5082 586 6109 205 593 5338 2113 3782 5879 6096 5679 3683 4036; 
61.09199999999998 0 9.697999999999968 1 51.39400000000002 0 5135 1494 1074 5119 16; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 1048 5879 3782 6096 6109 205 593 2113 5082 5679 4036 3683 586 5338 4446; 
63.05599999999992 0 11.105999999999957 1 51.94999999999994 0 5135 1494 1074 5119 16 3623; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 1048 5879 3782 6096 6109 205 593 2113 5082 5679 4036 3683 586 5338 4446; 
65.83800000000006 0 11.217999999999972 1 54.61999999999989 0 5135 1494 1074 5119 16 3623; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 1048 5879 3782 2730 6109 205 593 2113 5082 5679 4036 3683 586 5338 4446 677; 
66.85800000000006 0 12.293999999999965 1 54.564 0 5135 1494 1074 5119 16 3623 5; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 1048 5879 3782 2730 6109 205 593 2113 5082 5679 4036 3683 586 5338 4446 677; 
68.06200000000005 0 13.301999999999955 1 54.75999999999998 0 5135 1494 1074 5119 16 3623 5 1595; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 1048 5879 3782 2730 6109 205 593 2113 5082 5679 4036 3683 586 5338 4446 677; 
68.97200000000004 0 13.049999999999953 1 55.92199999999994 0 5135 1494 1074 4762 16 3623 5 1595; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 5879 3782 2730 6109 205 593 2113 817 5082 5679 4036 3683 586 5338 4446 677 3449; 
71.33400000000009 0 13.195999999999946 1 58.13799999999994 0 5135 1494 1074 4762 16 3623 1595 5; 1 5834 5234 1335 1315 4980 1628 3897 5107 639 5879 3782 2730 6109 205 593 2113 817 5082 5679 4036 3683 586 5338 4446 677 3449 6097; 
72.96999999999997 0 14.09599999999995 1 58.87399999999997 0 5135 1494 1074 4762 3123 16 3623 1595 5; 1 5834 5234 1335 1315 4980 1628 5635 5107 639 5879 3782 2730 6109 205 593 3634 817 5679 4036 3683 586 5338 4446 677 3449 6097 2382; 
74.01400000000018 0 14.205999999999953 1 59.80799999999997 0 5135 1494 1074 4762 3123 16 3623 5 1595; 1 5834 5234 1335 1315 4980 1628 4209 5107 639 5879 3782 2730 6109 205 593 2113 817 5679 4036 3683 586 5338 4446 677 6097 3449 2382 3259; 
74.89200000000002 0 14.109999999999944 1 60.78199999999995 0 5135 1494 1074 4762 3123 16 3623 5 1595; 1 5834 5234 1335 1315 4980 1628 4209 5107 639 5879 3782 2730 6109 205 593 2113 817 5679 4036 3683 586 5338 4446 677 6097 3449 2382 3259 3030; 
77.74200000000017 0 14.493999999999964 1 63.24799999999994 0 5135 1494 1074 3123 16 3623 5 1595 4058; 1 5834 5234 1335 1315 4980 1628 4209 5107 639 1048 5879 3782 2730 6109 205 593 2113 5528 5679 4036 3683 586 5338 4446 677 6097 3449 2382 3259 3030; 
