1.0320000000000007 0 1.0140000000000007 1 0.006 2 0.012 0 14813714; 1 2 
4.133999999999976 0 1.486000000000001 1 2.5899999999999896 2 0.05800000000000003 0 14813714; 1 2384071; 2 
7.597999999999966 0 3.32199999999998 1 4.173999999999974 2 0.10200000000000008 0 22461427; 1 2384071 19360333; 2 
27.25999999999992 0 7.887999999999968 1 16.425999999999984 2 2.9459999999999877 0 22461427 33437822 27060950 7828252 14139780; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772 14696934; 2 19686924 24863940; 
27.943999999999903 0 7.691999999999961 1 17.24599999999998 2 3.00599999999999 0 22461427 33437822 27060950 7828252 14139780; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772 14696934 25468909; 2 19686924 24863940; 
27.201999999999945 0 7.2619999999999685 1 16.983999999999988 2 2.9559999999999906 0 39299693 33437822 20297525 7828252 14139780 18506582; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772 25468909 14696934; 2 19686924 24863940; 
28.38999999999992 0 7.235999999999964 1 17.171999999999983 2 3.981999999999971 0 39299693 33437822 20297525 7828252 14139780 18506582; 1 2384071 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 16412744 17323772 25468909 14696934; 2 19686924 24863940 16788703; 
29.993999999999982 0 6.359999999999952 1 19.60799999999997 2 4.025999999999975 0 39299693 20297525 7828252 14139780 18506582; 1 2384071 16845153 12389772 17201112 10125822 19360333 8820652 16447060 14451294 17498731 15076390 17323772 25468909 14696934 16102437; 2 19686924 24863940 16788703; 
28.827999999999935 0 6.937999999999953 1 18.02599999999997 2 3.8639999999999737 0 39299693 33437822 20297525 7828252 14139780 18506582; 1 6821602 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 25468909 14696934 16102437 27120518; 2 19686924 24863940 16788703; 
31.433999999999983 0 7.285999999999963 1 20.21399999999998 2 3.933999999999969 0 9922122 39299693 33437822 20297525 7828252 18506582; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 25468909 14696934 15285795 16102437 27120518 2384071; 2 19686924 24863940 16788703; 
32.95000000000001 0 7.541999999999977 1 21.48599999999998 2 3.921999999999973 0 9922122 39299693 33437822 20297525 7828252 18506582; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 25468909 14696934 15285795 16102437 2384071 27120518 15105269; 2 19686924 24863940 16788703; 
34.118000000000045 0 7.265999999999963 1 21.833999999999982 2 5.017999999999968 0 9922122 39299693 33437822 20297525 7828252 18506582; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 25468909 14696934 15285795 16102437 2384071 27120518 15105269; 2 19686924 24863940 16788703 18102660; 
35.39000000000004 0 7.467999999999968 1 22.88599999999997 2 5.035999999999968 0 9922122 39299693 33437822 20297525 7828252 18506582; 1 16845153 12389772 17201112 22523228 19360333 8820652 16447060 14451294 17498731 17323772 25468909 14696934 15285795 16102437 2384071 27120518 15105269 797018; 2 19686924 24863940 16788703 18102660; 
