2.5559999999999885 0 0.2920000000000002 1 0.9820000000000008 2 1.282000000000001 0 1 2 17850012; 
4.261999999999977 0 1.454000000000001 1 2.739999999999987 2 0.06800000000000002 0 14813714; 1 2384071; 2 
39.95400000000009 0 10.651999999999973 1 24.813999999999922 2 4.487999999999985 0 7376382 14139780 34396078 14813714 23219721 29863027 22461427; 1 14167991 16236786 797018 22523228 21494085 14785887 17201112 12389772 37975185 41773112 2384071 23344327 16813674 16494857 16004411 15105269 16845153 16102437 43199935; 2 17850012 24863940 16420606 16788703; 
41.15800000000005 0 10.639999999999949 1 25.935999999999932 2 4.581999999999982 0 7376382 14139780 34396078 14813714 23219721 22461427 29863027; 1 14167991 16236786 797018 22523228 21494085 14785887 17201112 12389772 37975185 41773112 2384071 23344327 16813674 16494857 16004411 15105269 16845153 16102437 43199935 14909369; 2 17850012 24863940 16420606 16788703; 
42.46200000000005 0 10.773999999999955 1 26.21599999999991 2 5.471999999999943 0 7376382 14139780 34396078 14813714 23219721 22461427 29863027; 1 14167991 16236786 797018 22523228 21494085 14785887 17201112 12389772 37975185 41773112 2384071 23344327 16813674 16494857 16004411 15105269 16845153 16102437 43199935 14909369; 2 17850012 24863940 16420606 16788703 18102660; 
43.72800000000002 0 11.797999999999961 1 25.46399999999997 2 6.4659999999999505 0 7376382 14139780 34396078 14813714 32627702 23219721 22461427 29863027; 1 14167991 16236786 797018 22523228 21494085 14785887 17201112 37975185 2384071 23344327 16813674 16494857 16004411 15105269 16845153 16102437 43199935 14909369 6480302; 2 17850012 24863940 11120172 16420606 16788703 18102660; 
44.91999999999998 0 11.833999999999941 1 26.577999999999918 2 6.507999999999955 0 7376382 14139780 34396078 14813714 32627702 23219721 22461427 29863027; 1 14167991 16236786 797018 22523228 21494085 14785887 17201112 37975185 2384071 23344327 16813674 16494857 16004411 15105269 16845153 16102437 43199935 14909369 14328764 28726058; 2 17850012 24863940 11120172 16420606 16788703 18102660; 
45.61799999999999 0 10.683999999999966 1 28.407999999999916 2 6.525999999999955 0 14813714 9922122 7376382 29863027 23219721 22461427 34396078; 1 14328764 16845153 28726058 797018 2384071 23344327 41773112 16004411 14785887 17201112 16813674 43199935 14909369 16494857 21494085 15105269 16102437 22523228 16236786 14167991 37975185 17451621; 2 18102660 24863940 16420606 16788703 11120172 17850012; 
47.0 0 11.91999999999995 1 28.499999999999957 2 6.57999999999996 0 32627702 14813714 9922122 7376382 29863027 23219721 22461427 34396078; 1 6480302 16845153 28726058 797018 2384071 23344327 16004411 14785887 17201112 16813674 43199935 14909369 16494857 21494085 15105269 16102437 22523228 16236786 14167991 37975185 15307206 15490016; 2 18102660 24863940 16420606 16788703 11120172 17850012; 
47.529999999999994 0 10.605999999999977 1 30.395999999999958 2 6.5279999999999525 0 14813714 9922122 7376382 29863027 23219721 22461427 34396078; 1 14328764 16845153 28726058 797018 2384071 23344327 41773112 16004411 14785887 17201112 16813674 43199935 14909369 16494857 21494085 15105269 16102437 22523228 8043172 14167991 37975185 15307206 15490016 16412744; 2 18102660 24863940 16420606 16788703 11120172 17850012; 
49.05599999999995 0 10.009999999999968 1 32.495999999999995 2 6.5499999999999545 0 14813714 9922122 7376382 29863027 23219721 22461427; 1 14328764 16845153 28726058 797018 2384071 23344327 41773112 16004411 14785887 17201112 16813674 43199935 14909369 16494857 21494085 15105269 16102437 22523228 18954398 8043172 14167991 37975185 15307206 16412744 15490016 15487691; 2 18102660 24863940 16420606 16788703 11120172 17850012; 
50.0299999999999 0 9.867999999999972 1 33.626000000000026 2 6.535999999999952 0 14813714 9922122 7376382 29863027 23219721 22461427; 1 14328764 16845153 28726058 797018 2384071 23344327 41773112 16004411 14785887 17201112 16813674 43199935 14909369 16494857 21494085 15105269 16102437 22523228 18954398 8043172 14167991 37975185 15307206 16412744 15490016 15487691 14451294; 2 18102660 24863940 16420606 16788703 11120172 17850012; 
51.44599999999986 0 10.123999999999965 1 34.75200000000006 2 6.569999999999956 0 14813714 9922122 7376382 29863027 23219721 22461427; 1 6480302 16845153 28726058 797018 2384071 23344327 41773112 16004411 14785887 17201112 16813674 43199935 14909369 16494857 21494085 15105269 16102437 22523228 18954398 8043172 14167991 37975185 15307206 15490016 15487691 16412744 14451294 21093392; 2 18102660 24863940 16420606 16788703 11120172 17850012; 
