2.1539999999999973 0 0.3040000000000002 1 0.8120000000000006 2 1.0380000000000007 0 1 2 17850012; 
3.347999999999986 0 1.404000000000001 1 0.9000000000000007 2 1.0440000000000007 0 39299693; 1 2 17850012; 
6.519999999999963 0 4.007999999999979 1 1.426000000000001 2 1.0860000000000007 0 33437822 22461427; 1 2 17850012; 
34.12600000000003 0 9.72799999999998 1 23.06799999999994 2 1.330000000000001 0 14813714 33437822 18162730 9922122 14139780 18660521 18506582 7828252; 1 22523228 10125822 17862286 8820652 17201112 16102437 14328764 17323772 19360333 14451294 16412744 12389772 16845153 11792612 27120518 15105269 2384071 16494857; 2 17850012; 
35.662 0 9.821999999999967 1 24.42399999999996 2 1.416000000000001 0 14813714 33437822 18162730 9922122 18660521 18506582 7828252 27362221; 1 22523228 10125822 17862286 8820652 9507822 17201112 16102437 14328764 17323772 19360333 14451294 16412744 12389772 16845153 11792612 27120518 15105269 2384071 16494857; 2 17850012; 
36.494000000000035 0 9.933999999999974 1 25.19999999999992 2 1.360000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 27362221; 1 22523228 17862286 8820652 9507822 17201112 16102437 16494857 17323772 15105269 19360333 14451294 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785; 2 17850012; 
37.408000000000044 0 9.699999999999974 1 26.33199999999994 2 1.376000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 27362221; 1 22523228 17862286 8820652 9507822 17201112 16102437 16494857 17323772 15105269 19360333 14451294 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 19764560; 2 17850012; 
38.53800000000001 0 9.819999999999975 1 27.28799999999991 2 1.430000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 20322928; 1 22523228 17862286 8820652 9507822 17201112 16102437 16494857 17323772 15105269 19360333 14451294 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 19764560 22463905; 2 17850012; 
39.444000000000024 0 9.841999999999974 1 28.205999999999918 2 1.396000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 20322928; 1 22523228 17862286 8820652 9507822 17201112 16102437 16494857 17323772 15105269 19360333 14451294 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 22463905 19764560 14467222; 2 17850012; 
40.748000000000026 0 9.933999999999967 1 29.451999999999956 2 1.362000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 20322928; 1 22523228 17862286 8820652 9507822 17201112 16102437 16494857 17323772 15105269 19360333 14451294 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 22463905 19764560 14467222 14785887; 2 17850012; 
41.71400000000006 0 10.845999999999936 1 29.44199999999994 2 1.426000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 20322928 15546710; 1 22523228 17862286 8820652 9507822 17201112 16102437 16494857 17323772 15105269 19360333 17498731 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 22463905 19764560 14467222 14785887; 2 17850012; 
43.221999999999994 0 10.921999999999958 1 30.833999999999943 2 1.466000000000001 0 14813714 33437822 18162730 7828252 9922122 18660521 18506582 20322928 15546710; 1 22523228 17862286 28942852 9507822 17201112 16102437 16494857 17323772 15105269 8820652 17498731 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 22463905 19764560 14467222 14785887 1315431; 2 17850012; 
44.85600000000006 0 12.117999999999943 1 31.23399999999997 2 1.5040000000000011 0 14813714 11350892 33437822 18162730 7828252 39299693 18660521 18506582 20322928 15546710; 1 17862286 28942852 9507822 17201112 16102437 16494857 17323772 15105269 8820652 17498731 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24691785 22463905 19764560 14467222 14785887 1315431 21093392; 2 17850012; 
45.630000000000024 0 11.995999999999942 1 32.12400000000002 2 1.5100000000000011 0 14813714 11350892 33437822 18162730 7828252 9922122 18660521 18506582 20322928 15546710; 1 17862286 28942852 9507822 17201112 16102437 16494857 17323772 15105269 8820652 17498731 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24561360 22463905 19764560 42408628 14785887 1315431 21093392 22317106; 2 17850012; 
46.62400000000001 0 12.105999999999945 1 33.053999999999995 2 1.464000000000001 0 14813714 11350892 33437822 18162730 15755677 9922122 18660521 18506582 20322928 15546710; 1 17862286 28942852 9507822 17201112 16102437 16494857 17323772 15105269 8820652 17498731 16412744 12389772 16845153 11792612 27120518 2384071 10125822 14328764 24561360 22463905 19764560 42408628 14785887 1315431 21093392 22317106 18988350; 2 17850012; 
48.10799999999995 0 12.30199999999995 1 34.30600000000005 2 1.500000000000001 0 15755677 15610769 9922122 18660521 33437822 18506582 11350892 20322928 15546710 18162730; 1 17498731 17201112 16845153 24561360 28942852 9507822 16102437 16494857 1315431 15105269 14785887 18988350 22317106 42408628 11792612 22463905 2384071 10125822 14328764 17862286 27120518 12389772 21093392 19764560 16412744 8820652 17323772 23344327; 2 17850012; 
49.01799999999987 0 12.183999999999948 1 35.35600000000005 2 1.478000000000001 0 15755677 15610769 9922122 18660521 33437822 18506582 11350892 20322928 15546710 18162730; 1 17498731 17201112 16845153 24561360 28942852 9507822 16102437 16494857 1315431 15105269 14785887 18988350 22317106 14467222 11792612 22463905 2384071 10125822 14328764 17862286 27120518 12389772 21093392 19764560 16412744 8820652 17323772 23344327 29762189; 2 17850012; 
