1.0760000000000007 0 1.0400000000000007 1 0.018000000000000002 2 0.018000000000000002 0 18162730; 1 2 
3.507999999999983 0 1.352000000000001 1 0.8920000000000007 2 1.264000000000001 0 39299693; 1 2 17850012; 
8.645999999999972 0 3.487999999999982 1 3.837999999999978 2 1.320000000000001 0 22461427; 1 2384071; 2 17850012; 
9.91799999999997 0 3.4979999999999767 1 5.059999999999976 2 1.360000000000001 0 22461427; 1 2384071 22523228; 2 17850012; 
11.065999999999972 0 4.581999999999972 1 5.105999999999971 2 1.378000000000001 0 18888190 22461427; 1 22523228 2384071; 2 17850012; 
12.25999999999996 0 4.5979999999999785 1 6.275999999999966 2 1.386000000000001 0 22461427 18888190; 1 22523228 2384071 17201112; 2 17850012; 
13.533999999999967 0 4.677999999999972 1 7.431999999999966 2 1.424000000000001 0 22461427 18888190; 1 22523228 2384071 17201112 16845153; 2 17850012; 
14.26599999999996 0 4.535999999999971 1 8.301999999999964 2 1.428000000000001 0 22461427 18888190; 1 22523228 2384071 17201112 16845153 19360333; 2 17850012; 
13.587999999999937 0 4.133999999999974 1 8.097999999999978 2 1.356000000000001 0 22461427 18888190; 1 22523228 4285941 17201112 16845153 19360333 14451294; 2 17850012; 
17.279999999999962 0 3.947999999999977 1 11.887999999999968 2 1.444000000000001 0 22461427; 1 22523228 17173775 12389772 17201112 16845153 19360333 14451294 2384071; 2 17850012; 
16.18199999999999 0 4.435999999999971 1 10.39599999999997 2 1.350000000000001 0 22461427 23219721; 1 12389772 17173775 17201112 14451294 22523228 16845153 2628591 19360333; 2 17850012; 
17.933999999999976 0 4.699999999999971 1 11.84999999999995 2 1.384000000000001 0 22461427 23219721; 1 12389772 17173775 17201112 14451294 22523228 16845153 2628591 19360333 8820652; 2 17850012; 
19.44999999999999 0 4.875999999999977 1 13.075999999999958 2 1.498000000000001 0 22461427 23219721; 1 12389772 17173775 17201112 14451294 22523228 16845153 2628591 19360333 8820652 16412744; 2 17850012; 
19.747999999999976 0 4.569999999999973 1 13.733999999999947 2 1.444000000000001 0 22461427 30733040; 1 12389772 20024547 17201112 14451294 22523228 16845153 2628591 19360333 16412744 8820652 22463905; 2 17850012; 
21.153999999999982 0 4.4719999999999756 1 15.125999999999976 2 1.5560000000000012 0 22461427 18506582; 1 12389772 20024547 17201112 14451294 22523228 16845153 2628591 19360333 16412744 8820652 22463905 17323772; 2 17850012; 
22.268000000000008 0 4.553999999999977 1 16.177999999999972 2 1.5360000000000011 0 22461427 18506582; 1 12389772 20024547 17201112 14451294 22523228 16845153 2628591 19360333 16412744 8820652 22463905 17323772 14696934; 2 17850012; 
25.055999999999948 0 5.845999999999968 1 17.58799999999998 2 1.6220000000000012 0 22461427 18506582 33437822; 1 12389772 20024547 17201112 14451294 22523228 16845153 2384071 19360333 16412744 8820652 14696934 17323772 25468909; 2 17850012; 
