3.3499999999999814 0 2.855999999999985 1 0.46800000000000036 2 0.026000000000000002 0 22461427; 1 2 
6.461999999999967 0 3.23799999999998 1 3.1499999999999844 2 0.07400000000000005 0 22461427; 1 2384071; 2 
27.093999999999944 0 6.851999999999969 1 14.083999999999968 2 6.157999999999952 0 22461427 7376382 11350892; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269; 2 17850012 19686924 14050355 13654112 18102660; 
28.243999999999925 0 6.923999999999964 1 15.081999999999963 2 6.237999999999957 0 22461427 7376382 11350892; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812; 2 17850012 19686924 14050355 13654112 18102660; 
29.687999999999967 0 7.851999999999961 1 15.625999999999966 2 6.209999999999949 0 22461427 7376382 11350892 19624059; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812; 2 17850012 19686924 14050355 13654112 18102660; 
30.685999999999954 0 7.925999999999965 1 16.52599999999998 2 6.233999999999953 0 22461427 7376382 11350892 19624059; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191; 2 17850012 19686924 14050355 13654112 18102660; 
32.39599999999999 0 9.321999999999957 1 16.857999999999976 2 6.21599999999995 0 22461427 7376382 11350892 19624059 20661527; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191; 2 17850012 19686924 14050355 13654112 18102660; 
33.09799999999999 0 9.139999999999963 1 17.637999999999984 2 6.319999999999949 0 22461427 7376382 11350892 19624059 20661527; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744; 2 17850012 19686924 14050355 13654112 18102660; 
34.46400000000001 0 9.161999999999967 1 17.987999999999982 2 7.313999999999969 0 22461427 7376382 11350892 19624059 20661527; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744; 2 17850012 19686924 14050355 13654112 18102660 13253992; 
36.14600000000007 0 10.419999999999975 1 18.465999999999973 2 7.259999999999972 0 22461427 7376382 11350892 19624059 20661527 29863027; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744; 2 17850012 19686924 14050355 13654112 18102660 13253992; 
37.422000000000004 0 10.615999999999964 1 19.457999999999974 2 7.347999999999981 0 22461427 7376382 11350892 19624059 20661527 29863027; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991; 2 17850012 19686924 14050355 13654112 18102660 13253992; 
38.56000000000004 0 10.621999999999971 1 19.591999999999988 2 8.345999999999986 0 22461427 7376382 11350892 19624059 20661527 29863027; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
39.81600000000005 0 10.535999999999968 1 20.819999999999965 2 8.459999999999976 0 22461427 7376382 11350892 19624059 20661527 29863027; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
41.23400000000002 0 10.777999999999967 1 22.099999999999987 2 8.355999999999987 0 22461427 7376382 11350892 19624059 20661527 29863027; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
41.966000000000015 0 10.587999999999967 1 23.11599999999997 2 8.261999999999983 0 22461427 7376382 11350892 19624059 20661527 29863027; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
43.28200000000006 0 11.715999999999951 1 23.173999999999964 2 8.391999999999989 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
44.488000000000014 0 11.78999999999996 1 24.267999999999947 2 8.429999999999986 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
45.72199999999997 0 11.811999999999967 1 25.39399999999997 2 8.515999999999982 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
46.965999999999966 0 11.935999999999964 1 26.58599999999993 2 8.443999999999981 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
47.78599999999996 0 11.827999999999957 1 27.483999999999945 2 8.473999999999986 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
49.27399999999998 0 11.987999999999957 1 28.841999999999945 2 8.443999999999988 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
50.41599999999988 0 11.885999999999967 1 30.111999999999966 2 8.417999999999978 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
51.48799999999988 0 11.923999999999939 1 31.181999999999988 2 8.381999999999978 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493 5640632; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
52.24999999999989 0 11.89999999999996 1 31.869999999999994 2 8.47999999999998 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493 5640632 16209040; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
53.40599999999987 0 12.997999999999957 1 31.980000000000004 2 8.427999999999985 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105 18882655; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493 5640632 16209040; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
54.36599999999991 0 13.861999999999952 1 32.04799999999999 2 8.455999999999976 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105 18882655 30296618; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493 5640632 16209040; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
56.031999999999904 0 15.103999999999953 1 32.582000000000015 2 8.345999999999984 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105 18882655 30296618 774675; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493 5640632 16209040; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
56.923999999999914 0 15.14399999999997 1 33.34200000000001 2 8.437999999999983 0 22461427 7376382 11350892 19624059 20661527 29863027 23367105 18882655 30296618 774675; 1 2384071 16004411 17173775 15076390 8820652 16447060 15105269 821812 17553191 16412744 25681991 16462880 14696934 23344327 10750192 3160851 23885448 18044059 16994507 35967493 5640632 16209040 17486893; 2 17850012 19686924 14050355 13654112 18102660 13253992 10138132; 
