1.1900000000000008 0 0.044000000000000004 1 1.1380000000000008 2 0.008 0 1 22523228; 2 
2.198000000000001 0 0.028000000000000004 1 2.1500000000000012 2 0.020000000000000004 0 1 22523228 12389772; 2 
3.319999999999966 0 0.07000000000000002 1 3.213999999999966 2 0.03600000000000002 0 1 22523228 12389772 14167991; 2 
4.275999999999998 0 1.0540000000000007 1 3.1939999999999653 2 0.02800000000000001 0 18162730; 1 797018 12389772 14167991; 2 
5.959999999999942 0 1.310000000000001 1 4.605999999999984 2 0.044000000000000025 0 14813714; 1 14167991 17173775 797018 12389772; 2 
8.889999999999974 0 1.7560000000000013 1 7.051999999999954 2 0.08200000000000005 0 14813714; 1 2384071 17173775 797018 12389772 37975185; 2 
26.909999999999936 0 5.067999999999971 1 19.667999999999996 2 2.1739999999999986 0 14813714 22461427; 1 2384071 17173775 22523228 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005 18988350 16494857 16813674 15495322; 2 17850012 24863940; 
28.115999999999946 0 4.997999999999974 1 20.965999999999987 2 2.1519999999999997 0 14813714 22461427; 1 2384071 17173775 22523228 12389772 21494085 16004411 16102437 14785887 37975185 8043172 15862005 18988350 16494857 16813674 15495322 22951944; 2 17850012 24863940; 
28.891999999999953 0 5.941999999999963 1 20.717999999999975 2 2.231999999999999 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 12389772 15862005 22951944 21494085 8043172 15495322 14785887 22242176; 2 24863940 17850012; 
29.977999999999966 0 6.0919999999999686 1 21.65199999999996 2 2.2339999999999995 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 8043172 15307206 14785887 22463905 14909369; 2 24863940 17850012; 
31.073999999999973 0 6.135999999999967 1 22.71999999999996 2 2.217999999999999 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 8043172 15307206 14785887 22463905 14909369 15728729; 2 24863940 17850012; 
32.37000000000001 0 6.039999999999961 1 25.07799999999994 2 1.252000000000001 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 30285499 8043172 15307206 14785887 22463905 14909369 15728729 14451294; 2 17850012; 
33.42000000000001 0 6.1239999999999615 1 25.063999999999922 2 2.2319999999999998 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 8043172 15307206 14785887 22463905 14909369 15728729 14451294 16845153; 2 24863940 17850012; 
34.08400000000003 0 6.009999999999972 1 26.693999999999917 2 1.380000000000001 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 22108726 8043172 15307206 14785887 22463905 14909369 15728729 14451294 16845153 30864390; 2 24863940; 
35.28600000000001 0 6.111999999999973 1 27.77199999999993 2 1.402000000000001 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 22108726 8043172 15307206 14785887 22463905 14909369 15728729 14451294 16845153 30864390 32949746; 2 24863940; 
36.17800000000002 0 6.003999999999964 1 28.767999999999937 2 1.406000000000001 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 22108726 8043172 15307206 14785887 22463905 14909369 15728729 14451294 16845153 30864390 32949746 23885448; 2 24863940; 
36.71600000000004 0 5.863999999999969 1 28.409999999999947 2 2.4419999999999966 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 21060795 2384071 16813674 16102437 16494857 8969062 15862005 17305642 21494085 22108726 8043172 15307206 14785887 22463905 14909369 15728729 14451294 16845153 30864390 32949746 23885448; 2 24863940 17550920; 
38.49800000000005 0 5.961999999999968 1 30.117999999999963 2 2.417999999999996 0 14813714 22461427 11350892; 1 18988350 37975185 22523228 16004411 2384071 16813674 16102437 16494857 8969062 15862005 22951944 21494085 22108726 8043172 15307206 14785887 22463905 14909369 15728729 14451294 16845153 30864390 32949746 23885448 14097544; 2 24863940 17550920; 
37.85600000000003 0 6.615999999999962 1 28.831999999999923 2 2.407999999999996 0 14813714 22461427 11350892 15572221; 1 18988350 37975185 22523228 16004411 14167991 16813674 16102437 16494857 12389772 15862005 22951944 21494085 22108726 8043172 15307206 14785887 22242176 14909369 15728729 14451294 16845153 30864390 32949746 23885448 14097544; 2 24863940 17550920; 
38.07800000000006 0 5.453999999999968 1 30.259999999999945 2 2.363999999999997 0 14813714 22461427 15572221; 1 18988350 37975185 22523228 21060795 14167991 16813674 16102437 16494857 12389772 15862005 22951944 21494085 22108726 8043172 15307206 14785887 15605407 22242176 14909369 15728729 14451294 16845153 30864390 32949746 23885448 14097544 21093392; 2 24863940 17550920; 
39.34400000000003 0 5.453999999999972 1 30.517999999999947 2 3.3719999999999684 0 14813714 22461427 15572221; 1 18988350 37975185 22523228 21060795 14167991 16813674 16102437 16494857 12389772 15862005 22951944 21494085 22108726 8043172 15307206 14785887 15605407 22242176 14909369 15728729 14451294 16845153 30864390 32949746 23885448 14097544 21093392; 2 24863940 17550920 30197513; 
42.108000000000075 0 4.915999999999973 1 33.74400000000002 2 3.4479999999999698 0 14813714 22461427; 1 18988350 37975185 22523228 21060795 14167991 16813674 16102437 16494857 12389772 15862005 22951944 21494085 22108726 8043172 15307206 14785887 15605407 22242176 23885448 14451294 26348935 21093392 15728729 14909369 14097544 32949746 16845153 30864390 2384071; 2 24863940 30197513 17550920; 
43.32399999999999 0 4.9239999999999755 1 34.978000000000044 2 3.421999999999971 0 14813714 22461427; 1 18988350 37975185 22523228 21060795 14167991 16431844 16102437 16494857 12389772 15862005 17305642 21494085 22108726 8043172 15307206 14785887 15605407 22242176 23885448 14451294 26348935 21093392 15728729 14909369 14097544 32949746 16845153 30864390 2384071 16410966; 2 24863940 30197513 17550920; 
42.54400000000003 0 5.379999999999969 1 32.778000000000006 2 4.385999999999986 0 14813714 22461427 19045839; 1 18988350 37975185 22523228 21060795 14167991 16431844 16102437 16494857 12389772 15862005 17305642 21494085 22108726 8043172 15307206 14785887 15605407 22242176 16410966 14909369 14451294 22463905 21093392 15728729 23885448 14097544 32949746 16845153 30864390; 2 24863940 17550920 30197513 30702406; 
43.76599999999999 0 5.619999999999966 1 33.75800000000003 2 4.3879999999999875 0 14813714 22461427 19045839; 1 18988350 37975185 22523228 21060795 14167991 16431844 16102437 16494857 12389772 15862005 17305642 21494085 22108726 8043172 15307206 14785887 15605407 22242176 16410966 14909369 14451294 22463905 21093392 15728729 23885448 14097544 32949746 16845153 30864390 15184942; 2 24863940 17550920 30197513 30702406; 
44.71800000000007 0 5.42999999999997 1 34.86200000000002 2 4.425999999999986 0 14813714 22461427 19045839; 1 18988350 37975185 22523228 21060795 14167991 16431844 16102437 16494857 12389772 15862005 17305642 21494085 22108726 8043172 15307206 14785887 15605407 22242176 16410966 14909369 14451294 8531732 21093392 15728729 23885448 14097544 32949746 16845153 30864390 15184942 26348935; 2 24863940 17550920 30197513 30702406; 
45.91 0 5.6159999999999695 1 35.896000000000015 2 4.397999999999985 0 14813714 22461427 19045839; 1 18988350 37975185 22523228 21060795 14167991 16431844 16102437 16494857 12389772 15862005 17305642 21494085 22108726 8043172 15307206 14785887 15605407 22242176 16410966 14909369 14451294 8531732 21093392 15728729 23885448 14097544 32949746 16845153 30864390 15184942 26348935 23344327; 2 24863940 17550920 30197513 30702406; 
47.73999999999994 0 6.6839999999999655 1 36.58200000000005 2 4.473999999999981 0 14813714 22461427 33437822 19045839; 1 18988350 37975185 22523228 21060795 14167991 16431844 16102437 16494857 12389772 15862005 17305642 21494085 22108726 8043172 15307206 14785887 15605407 22242176 16410966 14909369 14451294 21093392 15728729 23885448 14097544 32949746 16845153 30864390 15184942 26348935 23344327 8820652; 2 24863940 17550920 30197513 30702406; 
