2.4659999999999918 0 0.2920000000000002 1 0.9060000000000007 2 1.268000000000001 0 1 2 17850012; 
3.487999999999981 0 0.32200000000000023 1 0.9040000000000007 2 2.2619999999999996 0 1 2 17850012 24863940; 
3.161999999999964 0 0.046000000000000006 1 1.0980000000000008 2 2.0180000000000016 0 1 797018; 2 24863940 16420606; 
7.7219999999999684 0 0.8400000000000006 1 5.543999999999973 2 1.338000000000001 0 1 797018 2384071 18398842; 2 17850012; 
6.543999999999949 0 0.3080000000000002 1 1.9960000000000016 2 4.239999999999994 0 1 797018; 2 17850012 24863940 16420606 16788703; 
23.23399999999997 0 6.76199999999997 1 10.61199999999996 2 5.8599999999999435 0 14372426 16146535 7376382 22461427; 1 797018 14909369 41773112 17201112 22523228 15105269 2384071; 2 16420606 19686924 16788703 24863940 18102660; 
24.271999999999956 0 6.94799999999997 1 11.44199999999995 2 5.881999999999947 0 14372426 16146535 7376382 22461427; 1 797018 14909369 41773112 17201112 22523228 15105269 2384071 12389772; 2 16420606 19686924 16788703 24863940 18102660; 
25.37399999999993 0 6.68399999999996 1 12.783999999999946 2 5.905999999999946 0 14372426 16146535 7376382 22461427; 1 797018 14909369 41773112 17201112 22523228 15105269 2384071 12389772 15862005; 2 16420606 19686924 16788703 24863940 18102660; 
26.72199999999996 0 7.157999999999959 1 14.133999999999968 2 5.429999999999945 0 14372426 16146535 7376382 22461427; 1 797018 14909369 41773112 17201112 22523228 15105269 2384071 12389772 15862005 21381690; 2 16420606 17850012 16788703 24863940 18102660; 
27.14799999999993 0 6.807999999999961 1 14.925999999999954 2 5.413999999999944 0 14372426 16146535 18888190 22461427; 1 797018 14909369 41773112 17201112 22523228 15105269 2384071 12389772 15862005 21381690 15487691; 2 16420606 17850012 16788703 24863940 18102660; 
28.015999999999966 0 6.513999999999961 1 15.52399999999998 2 5.9779999999999545 0 18888190 22461427 16146535 14372426; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343; 2 16788703 24863940 19686924 18102660 16420606; 
29.061999999999948 0 6.657999999999961 1 16.629999999999985 2 5.773999999999946 0 18888190 22461427 16146535 14372426; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991; 2 16788703 24863940 19686924 18102660 16420606; 
30.149999999999967 0 6.571999999999968 1 16.565999999999974 2 7.01199999999997 0 22461427 20661527 14372426 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991; 2 9146202 16788703 24863940 19686924 18102660 16420606; 
31.55399999999999 0 6.789999999999965 1 17.830000000000002 2 6.93399999999997 0 22461427 20661527 14372426 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 23135992; 2 9146202 16788703 24863940 19686924 18102660 16420606; 
32.38800000000002 0 6.585999999999957 1 18.855999999999995 2 6.945999999999959 0 22461427 16146535 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 23135992 8043172; 2 9146202 16788703 24863940 19686924 18102660 16420606; 
33.34800000000003 0 6.84999999999996 1 19.558 2 6.939999999999968 0 22461427 20661527 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 23135992 8043172 19764560; 2 9146202 16788703 24863940 19686924 18102660 16420606; 
35.040000000000035 0 6.785999999999969 1 21.177999999999937 2 7.0759999999999685 0 22461427 20661527 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 23135992 8043172 19764560 16102437; 2 9146202 16788703 24863940 19686924 18102660 16420606; 
36.288000000000046 0 7.959999999999968 1 22.28399999999997 2 6.043999999999951 0 22461427 20661527 21733345 19570101 27362221; 1 12389772 15487691 22523228 797018 17201112 14909369 14270650 41773112 2384071 15105269 15862005 14521343 14167991 19764560 8043172 16102437 23135992 20657078; 2 9146202 16788703 24863940 19686924 18102660; 
