1.1200000000000008 0 1.0400000000000007 1 0.08000000000000003 2 0.0 0 33437822; 1 2 
21.583999999999975 0 6.837999999999962 1 14.445999999999966 2 0.3000000000000002 0 7376382 22461427 14139780 14813714; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 797018 27120518; 2 
22.843999999999962 0 6.883999999999962 1 15.651999999999978 2 0.3080000000000002 0 7376382 22461427 14139780 14813714; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 797018 27120518 21093392; 2 
24.177999999999958 0 8.107999999999976 1 15.71799999999998 2 0.35200000000000026 0 7376382 22461427 14139780 14813714 11350892; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 797018 27120518 21093392; 2 
24.903999999999947 0 8.85599999999997 1 15.725999999999987 2 0.32200000000000023 0 7376382 22461427 14139780 14813714 18888190 21161755; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 797018 27120518 21093392; 2 
25.949999999999914 0 9.929999999999966 1 15.705999999999982 2 0.3140000000000002 0 7376382 19045839 14139780 14813714 18888190 21161755 22461427; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 27120518 797018 21093392; 2 
27.00999999999993 0 9.96199999999996 1 16.755999999999972 2 0.2920000000000002 0 7376382 19045839 14139780 14813714 18888190 21161755 22461427; 1 22523228 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 27120518 797018 21093392 22242176; 2 
28.48999999999992 0 10.011999999999977 1 18.151999999999962 2 0.32600000000000023 0 7376382 19045839 14139780 14813714 18888190 21161755 22461427; 1 15055852 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 27120518 797018 21093392 22242176 16102437; 2 
30.40399999999996 0 10.091999999999963 1 19.945999999999984 2 0.36600000000000027 0 7376382 14139780 14813714 18888190 21161755 22461427 12966662; 1 15055852 14785887 12389772 16447060 2384071 17323772 17201112 16845153 14451294 14167991 27120518 797018 21093392 22242176 16102437; 2 
31.156 0 11.079999999999975 1 19.749999999999996 2 0.32600000000000023 0 7376382 19045839 14139780 14813714 18888190 21161755 22461427 12966662; 1 15055852 14785887 12389772 2384071 17323772 17201112 16845153 14451294 14167991 27120518 797018 21093392 22242176 16102437 16447060; 2 
32.873999999999995 0 11.197999999999961 1 21.25999999999997 2 0.4160000000000003 0 7376382 19045839 12966662 14813714 14139780 18888190 21161755 22461427; 1 15055852 14785887 12389772 14167991 17323772 16102437 16845153 14451294 27120518 22242176 21093392 797018 16447060 2384071 17201112 8820652; 2 
33.808000000000014 0 11.14999999999996 1 22.271999999999963 2 0.3860000000000003 0 7376382 19045839 12966662 14139780 18888190 21161755 22461427 14813714; 1 15055852 14785887 12389772 14167991 17323772 16102437 16845153 16780257 14451294 27120518 22242176 21093392 797018 16447060 2384071 17201112 8820652; 2 
35.25000000000003 0 11.357999999999944 1 23.527999999999945 2 0.36400000000000027 0 7376382 19045839 12966662 14139780 18888190 21161755 22461427 14813714; 1 15055852 14785887 12389772 14167991 17323772 16102437 16845153 16780257 14451294 27120518 22242176 21093392 797018 16447060 2384071 17201112 8820652 1315431; 2 
36.44200000000004 0 11.301999999999964 1 24.759999999999945 2 0.3800000000000003 0 7376382 19045839 12966662 14139780 18888190 21161755 22461427 14813714; 1 15055852 14785887 12389772 14167991 17323772 16102437 16845153 16780257 14451294 27120518 22242176 21093392 797018 16447060 2384071 17201112 8820652 1315431 20782744; 2 
37.58400000000008 0 12.369999999999951 1 24.773999999999948 2 0.44000000000000034 0 7376382 19045839 14139780 12966662 18888190 21161755 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018; 2 
38.47800000000003 0 12.225999999999946 1 25.839999999999907 2 0.4120000000000003 0 7376382 19045839 14139780 12966662 18888190 21161755 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 15739897 14451294 27120518 22242176 1315431 16447060 20782744 17201112 14167991 2384071 797018 24691785; 2 
39.51800000000004 0 12.225999999999951 1 26.89599999999994 2 0.3960000000000003 0 7376382 38929280 14139780 12966662 18888190 21161755 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 15739897 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018 24691785 21266715; 2 
40.378000000000064 0 12.251999999999938 1 27.745999999999917 2 0.3800000000000003 0 7376382 38929280 14139780 12966662 18888190 39469612 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018 24691785 21266715 14259990; 2 
42.13199999999999 0 12.419999999999943 1 29.253999999999948 2 0.45800000000000035 0 7376382 38929280 14139780 12966662 18888190 39469612 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018 24691785 21266715 14259990 15105269; 2 
43.358000000000025 0 12.481999999999944 1 30.36999999999998 2 0.5060000000000003 0 7376382 38929280 14139780 12966662 18888190 39469612 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018 24691785 14259990 15105269 21266715 23344327; 2 
45.15200000000001 0 12.823999999999952 1 31.832000000000008 2 0.4960000000000004 0 7376382 38929280 14139780 12966662 18888190 39469612 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018 24691785 14259990 15105269 21266715 23344327 17173775; 2 
45.902 0 12.737999999999944 1 32.653999999999975 2 0.5100000000000003 0 7376382 19045839 14139780 12966662 18888190 39469612 22461427 14813714 14306885; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 797018 24691785 14259990 15105269 21266715 23344327 17173775 16462880; 2 
47.26399999999993 0 12.885999999999951 1 33.85000000000001 2 0.5280000000000004 0 7376382 19045839 14139780 29863027 18888190 39469612 22461427 14813714 17316916; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 15100166 24691785 14259990 15105269 21266715 23344327 17173775 16462880 15184942; 2 
48.45799999999996 0 12.991999999999956 1 34.96800000000005 2 0.4980000000000004 0 7376382 19045839 14139780 29863027 18888190 18132880 22461427 14813714 17316916; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 27120518 22242176 1315431 16447060 20782744 17201112 26841567 2384071 15100166 24691785 14259990 15105269 21266715 23344327 15184942 17173775 16462880 18959428; 2 
50.00599999999992 0 13.203999999999935 1 36.26600000000006 2 0.5360000000000004 0 7376382 19045839 14139780 29863027 29986886 18132880 22461427 14813714 17316916; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 23885448 22242176 1315431 16447060 20782744 17201112 26841567 2384071 15100166 24691785 14259990 15105269 21266715 23344327 15184942 17173775 16462880 18959428 14338426; 2 
51.101999999999904 0 14.243999999999962 1 35.354000000000035 2 1.5040000000000011 0 7376382 19045839 14139780 29863027 29986886 18132880 22461427 14813714 17316916 14368074; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 16780257 14451294 23885448 22242176 1315431 16447060 20782744 17201112 26841567 2384071 15100166 14259990 15105269 21266715 23344327 15184942 17173775 16462880 18959428 14338426; 2 30702406; 
52.32999999999988 0 15.075999999999967 1 35.70000000000005 2 1.5540000000000012 0 7376382 19045839 18162730 14139780 29986886 18132880 9922122 14813714 14306885 14368074 22461427; 1 15055852 14785887 12389772 8820652 21093392 17323772 16102437 16845153 14451294 23885448 22242176 16780257 1315431 16447060 20782744 17201112 26841567 2384071 797018 14259990 15105269 21266715 23344327 15184942 17173775 16462880 18959428 15076390; 2 30702406; 
