1.1660000000000008 0 0.034 1 1.1140000000000008 2 0.018000000000000002 0 1 22523228; 2 
2.232000000000001 0 1.0520000000000007 1 1.1500000000000008 2 0.030000000000000013 0 18162730; 1 22523228; 2 
4.98399999999997 0 0.5620000000000004 1 3.367999999999986 2 1.0540000000000007 0 1 22523228 17173775; 2 17850012; 
25.07799999999994 0 5.927999999999963 1 16.963999999999984 2 2.186 0 14813714 22461427 7376382; 1 17173775 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 22951944 16004411 16494857 16102437; 2 30702406 17850012; 
27.405999999999935 0 6.115999999999972 1 20.055999999999965 2 1.2340000000000009 0 14813714 22461427 7376382; 1 2384071 27120518 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 22951944 16004411 16102437 16494857 18988350; 2 17850012; 
28.39999999999995 0 6.229999999999965 1 21.005999999999965 2 1.1640000000000008 0 14813714 22461427 7376382; 1 2384071 27120518 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 22951944 16004411 16102437 16494857 18988350 8043172; 2 17850012; 
29.515999999999938 0 6.23399999999997 1 22.090000000000007 2 1.1920000000000008 0 14813714 22461427 7376382; 1 2384071 27120518 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 22951944 16004411 16102437 16494857 18988350 8043172 30864390; 2 17850012; 
29.299999999999955 0 7.061999999999967 1 20.104000000000006 2 2.1340000000000012 0 14813714 7376382 774675 22461427; 1 22523228 17173775 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 22951944 16004411 16102437 16494857 18988350 30864390; 2 30702406 17850012; 
30.657999999999962 0 6.027999999999961 1 22.45799999999996 2 2.1719999999999997 0 14813714 7376382 22461427; 1 22523228 17173775 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 35967493 16004411 18988350 8043172 30864390 16102437 16494857 23344327; 2 30702406 17850012; 
32.08600000000003 0 7.139999999999955 1 22.753999999999976 2 2.1919999999999993 0 14813714 7376382 774675 22461427; 1 22523228 17173775 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 35967493 16004411 18988350 30864390 16102437 16494857 23344327 14785887; 2 30702406 17850012; 
33.18400000000002 0 7.107999999999965 1 23.84399999999993 2 2.231999999999999 0 14813714 7376382 774675 22461427; 1 22523228 17173775 37975185 14167991 19360333 21494085 32949746 15307206 16813674 23885448 35967493 16004411 18988350 30864390 16102437 16494857 23344327 14785887 14909369; 2 30702406 17850012; 
35.230000000000025 0 7.117999999999966 1 26.861999999999924 2 1.2500000000000009 0 14813714 18162730 22461427 774675; 1 22523228 2384071 37975185 14167991 19360333 22242176 21494085 32949746 15307206 16813674 23885448 35967493 16004411 23344327 16102437 30864390 14909369 14785887 18988350 16494857 22463905; 2 17850012; 
34.36200000000005 0 6.661999999999964 1 25.507999999999946 2 2.1919999999999997 0 14813714 18162730 22461427 774675; 1 22523228 37975185 14167991 19360333 22242176 21494085 32949746 15307206 16813674 23885448 35967493 16004411 23344327 16102437 30864390 14909369 14785887 18988350 16494857 22463905 37135242; 2 30702406 17850012; 
34.83400000000005 0 6.5179999999999625 1 27.011999999999933 2 1.304000000000001 0 14813714 18162730 22461427 774675; 1 22523228 37975185 14167991 19360333 22242176 21494085 32949746 40581809 15307206 16813674 23885448 35967493 16004411 23344327 16102437 30864390 14909369 14785887 18988350 16494857 22463905 37135242 15862005; 2 30702406; 
36.300000000000026 0 7.563999999999959 1 27.325999999999933 2 1.410000000000001 0 22461427 18162730 14813714 774675 19624059; 1 14167991 16102437 22463905 14909369 22242176 37135242 16494857 23344327 30864390 23885448 22523228 19360333 16004411 14785887 16813674 37975185 40581809 18988350 15862005 35967493 32949746 21494085 15307206; 2 30702406; 
39.17000000000002 0 8.035999999999968 1 30.713999999999984 2 0.4200000000000003 0 22461427 18162730 14813714 774675 19624059; 1 14167991 16102437 27120518 14909369 22242176 37135242 16494857 23344327 30864390 23885448 22523228 19360333 16004411 14785887 16813674 37975185 40581809 2384071 18988350 15862005 35967493 32949746 21494085 15307206 18120477; 2 
38.888000000000055 0 9.899999999999965 1 27.561999999999937 2 1.426000000000001 0 22461427 18162730 7376382 14813714 774675 19624059 18843449; 1 14167991 16102437 14909369 22242176 37135242 16494857 23344327 30864390 23885448 22523228 19360333 16004411 14785887 16813674 37975185 40581809 18988350 15862005 35967493 32949746 21494085 15307206 18120477; 2 30702406; 
40.75600000000006 0 10.13399999999997 1 28.331999999999947 2 2.2899999999999987 0 22461427 18162730 7376382 14813714 774675 19624059 18843449; 1 14167991 16102437 14909369 22242176 37135242 16494857 23344327 30864390 23885448 22523228 19360333 40581809 14785887 16813674 37975185 18988350 15862005 35967493 32949746 21494085 15307206 18120477 16004411; 2 17850012 30702406; 
41.45800000000004 0 10.051999999999975 1 29.131999999999934 2 2.274 0 22461427 18162730 7376382 14813714 774675 19624059 18843449; 1 14167991 16102437 14909369 22242176 37135242 16494857 23344327 30864390 23885448 22523228 19360333 40581809 14785887 16813674 37975185 18988350 15862005 35967493 32949746 21494085 15307206 18120477 16410966 16004411; 2 17850012 30702406; 
42.65200000000006 0 9.90999999999997 1 30.457999999999977 2 2.2839999999999985 0 22461427 18162730 7376382 18843449 14813714 19624059 14368074; 1 40581809 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 18988350 18120477 35967493 32949746 21494085 15307206 14167991 15862005 16236786 22242176; 2 17850012 30702406; 
43.926000000000066 0 10.09799999999997 1 31.554 2 2.273999999999998 0 22461427 18162730 7376382 18843449 14813714 19624059 14368074; 1 40581809 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 18988350 18120477 35967493 32949746 21494085 15307206 14167991 15862005 16236786 22242176 14808468; 2 17850012 30702406; 
45.056000000000026 0 10.033999999999963 1 32.8 2 2.221999999999999 0 22461427 18162730 7376382 18843449 14813714 19624059 14368074; 1 40581809 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 18988350 18120477 35967493 32949746 21494085 15307206 14167991 15862005 16236786 22242176 14808468 15483913; 2 17850012 30702406; 
46.27400000000001 0 10.16799999999997 1 33.83000000000005 2 2.275999999999999 0 22461427 18162730 7376382 18843449 14813714 19624059 14368074; 1 30285499 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 18988350 18120477 22951944 32949746 21494085 15307206 14167991 15862005 16236786 22242176 14808468 15483913 14270650; 2 17850012 30702406; 
49.5699999999999 0 11.909999999999961 1 36.32400000000004 2 1.336000000000001 0 22461427 18162730 7376382 18843449 14813714 82243 19624059 14368074; 1 30285499 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 18988350 17173775 22951944 32949746 21494085 15307206 14167991 15862005 16236786 22242176 14270650 14808468 15483913 2384071; 2 17850012; 
49.56999999999995 0 11.339999999999954 1 36.88400000000004 2 1.346000000000001 0 22461427 18162730 29986886 18843449 14813714 19624059 14368074 15572221; 1 30285499 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 12389772 18988350 17173775 22951944 32949746 21494085 15307206 14167991 15862005 16236786 22242176 14270650 14808468 15483913 2384071; 2 17850012; 
50.851999999999904 0 11.587999999999944 1 37.92800000000006 2 1.336000000000001 0 22461427 18162730 29986886 18843449 14813714 19624059 14368074 15572221; 1 30285499 16102437 14909369 37135242 16494857 23344327 30864390 23885448 22523228 16410966 19360333 16004411 14785887 16813674 37975185 12389772 18988350 17173775 22951944 32949746 21494085 15307206 14167991 15862005 16236786 22242176 15483913 14808468 14270650 2384071 14097544; 2 17850012; 
