2.4879999999999893 0 0.32600000000000023 1 0.9140000000000007 2 1.2480000000000009 0 1 2 17850012; 
3.56199999999998 0 1.318000000000001 1 0.9480000000000007 2 1.296000000000001 0 18162730; 1 2 17850012; 
4.561999999999979 0 0.33000000000000024 1 1.9980000000000016 2 2.233999999999999 0 1 22523228; 2 17850012 16420606; 
5.495999999999967 0 0.2840000000000002 1 1.9680000000000015 2 3.2439999999999687 0 1 22523228; 2 17850012 16420606 24863940; 
6.605999999999958 0 0.33600000000000024 1 2.0280000000000005 2 4.241999999999993 0 1 22523228; 2 17850012 16420606 24863940 16788703; 
39.870000000000076 0 7.4599999999999635 1 24.83199999999993 2 7.578000000000013 0 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 19360333 17201112 17971670 15862005 2384071 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787; 
40.80800000000005 0 7.5339999999999705 1 25.63799999999993 2 7.63600000000001 0 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 19360333 17201112 17971670 15862005 2384071 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 22242176; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787; 
42.17400000000001 0 7.5639999999999645 1 26.935999999999932 2 7.6740000000000075 0 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 19360333 17201112 17971670 15862005 2384071 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 22242176 29118055; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787; 
42.76400000000005 0 7.31599999999996 1 26.78199999999993 2 8.665999999999977 0 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 19360333 17201112 17971670 15862005 2384071 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 22242176 29118055; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
44.09599999999997 0 7.5699999999999585 1 27.931999999999952 2 8.593999999999973 0 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 19360333 17201112 17971670 15862005 2384071 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
44.918000000000056 0 7.493999999999967 1 28.853999999999967 2 8.569999999999983 0 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 19360333 17201112 17971670 15862005 12389772 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862 2384071; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
46.431999999999995 0 8.653999999999973 1 29.171999999999976 2 8.605999999999984 0 18975155 22461427 1106311 20661527 27362221; 1 16102437 797018 14270650 17201112 17971670 15862005 12389772 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862 2384071 16412744; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
47.27399999999998 0 9.633999999999961 1 28.97399999999993 2 8.665999999999977 0 18975155 22461427 1106311 20661527 27362221 19045839; 1 16102437 797018 14270650 17201112 17971670 15862005 12389772 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862 16412744 2384071; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
48.25199999999993 0 9.597999999999972 1 30.05399999999995 2 8.599999999999984 0 18975155 22461427 1106311 20661527 27362221 19045839; 1 16102437 797018 14270650 17201112 17971670 15862005 12389772 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862 16412744 2384071 16494857; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
49.93799999999995 0 9.897999999999978 1 31.335999999999988 2 8.703999999999978 0 18975155 22461427 1106311 20661527 7376382 19045839; 1 16102437 797018 14270650 17201112 17971670 15862005 12389772 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862 16494857 16412744 2384071 40225273; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
50.28199999999995 0 11.46599999999997 1 30.167999999999946 2 8.647999999999978 0 18975155 22461427 1106311 20661527 33437822 19045839 14720172 27362221; 1 16102437 797018 14270650 17201112 17971670 15862005 12389772 22523228 14785887 15105269 21093392 14909369 23344327 16194172 21266715 37975185 17173775 21494085 29118055 22242176 11541862 16494857 16412744 2384071; 2 16420606 9146202 17850012 13253992 24863940 16788703 18336787 17558182; 
