1.1760000000000008 0 0.04800000000000001 1 1.1140000000000008 2 0.014 0 1 22523228; 2 
2.2060000000000017 0 0.03200000000000001 1 2.1500000000000017 2 0.024000000000000007 0 1 22523228 12389772; 2 
5.769999999999969 0 2.9399999999999804 1 2.77799999999999 2 0.05200000000000002 0 22461427; 1 12389772 14451294; 2 
6.719999999999968 0 3.907999999999975 1 2.7539999999999907 2 0.05800000000000004 0 22461427 14813714; 1 14451294 12389772; 2 
8.36599999999997 0 4.077999999999978 1 4.225999999999973 2 0.062000000000000034 0 22461427 14813714; 1 14451294 12389772 15076390; 2 
9.61399999999997 0 4.133999999999977 1 5.407999999999967 2 0.07200000000000004 0 22461427 14813714; 1 14451294 12389772 15076390 16845153; 2 
10.589999999999975 0 4.115999999999977 1 6.387999999999959 2 0.08600000000000006 0 14813714 22461427; 1 22523228 14451294 12389772 15076390 16845153; 2 
25.547999999999924 0 6.899999999999958 1 17.485999999999983 2 1.1620000000000008 0 14813714 22461427 18162730 27362221; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 2384071 18988350; 2 17850012; 
27.13999999999993 0 7.021999999999959 1 18.947999999999993 2 1.1700000000000008 0 14813714 22461427 18162730 27362221; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 2384071 18988350 22242176; 2 17850012; 
28.227999999999955 0 7.043999999999957 1 19.959999999999972 2 1.2240000000000009 0 14813714 22461427 18162730 27362221; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 18988350 2384071 22242176 30285499; 2 17850012; 
29.223999999999908 0 6.979999999999964 1 21.049999999999986 2 1.1940000000000008 0 14813714 22461427 18162730 27362221; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 18988350 2384071 22242176 30285499 14328764; 2 17850012; 
30.257999999999964 0 6.049999999999969 1 23.033999999999967 2 1.1740000000000008 0 14813714 22461427 18162730; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 27120518 22463905 14328764 22242176 18988350 30285499 2384071; 2 17850012; 
29.271999999999927 0 5.559999999999969 1 21.611999999999977 2 2.1000000000000014 0 14813714 22461427 18162730; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 27120518 22463905 14328764 22242176 18988350 30285499 9159762; 2 17850012 30702406; 
30.393999999999977 0 5.605999999999972 1 22.677999999999994 2 2.1100000000000008 0 14813714 22461427 18162730; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 27120518 22463905 14328764 22242176 18988350 30285499 9159762 14167991; 2 17850012 30702406; 
31.473999999999997 0 7.621999999999961 1 21.733999999999988 2 2.1180000000000003 0 14813714 22461427 18162730 27051306 16146535; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 22463905 14328764 22242176 18988350 30285499 9159762 18961908; 2 17850012 30702406; 
33.27400000000002 0 6.657999999999964 1 24.439999999999927 2 2.176 0 14813714 22461427 18162730 16146535; 1 14451294 16845153 12389772 16494857 15658445 17862286 16447060 17498731 16102437 8043172 15834295 9159762 14328764 22242176 18961908 27120518 30285499 18988350 22463905 8820652; 2 17850012 30702406; 
34.48000000000003 0 7.681999999999961 1 24.60599999999995 2 2.192000000000001 0 14813714 22461427 18162730 16146535 27362221; 1 14451294 16845153 12389772 16494857 15658445 17862286 16447060 17498731 16102437 8043172 15834295 9159762 14328764 22242176 18961908 27120518 30285499 18988350 8820652 14785887; 2 17850012 30702406; 
35.42200000000004 0 6.757999999999962 1 26.445999999999913 2 2.2180000000000013 0 14813714 22461427 18162730 16146535; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 9159762 14328764 22242176 18961908 27120518 30285499 18988350 22463905 8820652 14785887 14097544; 2 17850012 30702406; 
36.286000000000016 0 6.723999999999968 1 27.383999999999904 2 2.178 0 14813714 22461427 18162730 16146535; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 9159762 14328764 22242176 18961908 27120518 30285499 18988350 22463905 8820652 14785887 15658445 17498731; 2 17850012 30702406; 
37.31800000000002 0 7.565999999999975 1 27.553999999999935 2 2.1979999999999995 0 14813714 22461427 18162730 16146535 39299693; 1 14451294 16845153 12389772 16494857 37975185 17862286 16447060 19360333 16102437 8043172 15834295 14431629 14328764 22242176 18961908 27120518 30285499 18988350 22463905 8820652 17498731 15658445 14785887; 2 17850012 30702406; 
39.564000000000036 0 9.031999999999977 1 28.24399999999994 2 2.287999999999999 0 19624059 14813714 22461427 18162730 16146535 39299693; 1 14451294 16845153 12389772 16494857 15658445 16447060 19360333 16102437 8043172 15834295 14431629 14328764 22242176 18961908 27120518 30285499 18988350 22463905 8820652 17498731 14097544 14785887 15487691; 2 17850012 30702406; 
40.18399999999999 0 10.055999999999976 1 27.903999999999925 2 2.2239999999999998 0 19624059 14813714 22461427 18162730 16146535 27362221 39299693; 1 14451294 16845153 12389772 16494857 15658445 16447060 19360333 16102437 8043172 15834295 14431629 14328764 22242176 18961908 27120518 30285499 18988350 8820652 17498731 14097544 14785887 15487691 9507822; 2 17850012 30702406; 
41.48400000000002 0 10.999999999999966 1 28.219999999999953 2 2.263999999999997 0 19624059 14813714 22461427 18162730 16146535 40581589 27362221 39299693; 1 14451294 16845153 12389772 16494857 15658445 22523228 19360333 16102437 8043172 15834295 14431629 14328764 22242176 18961908 30285499 18988350 8820652 17498731 14097544 14785887 15487691 9507822 16447060; 2 17850012 30702406; 
42.750000000000036 0 10.927999999999942 1 29.547999999999945 2 2.273999999999999 0 19624059 14813714 22461427 18162730 39299693 40581589 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 9507822 14328764 14098609 14785887 30285499 8820652 15487691 14431629 18988350 18961908 16447060 22242176 14097544 15105269; 2 17850012 30702406; 
43.74400000000004 0 10.89599999999997 1 29.55599999999994 2 3.291999999999968 0 19624059 14813714 22461427 18162730 39299693 40581589 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 9507822 14328764 14098609 14785887 30285499 8820652 15487691 14431629 18988350 18961908 16447060 22242176 14097544 15105269; 2 17850012 30702406 26766494; 
44.87800000000004 0 10.821999999999964 1 30.805999999999987 2 3.2499999999999676 0 19624059 14813714 22461427 18162730 39299693 40581589 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 9507822 14328764 14098609 14785887 30285499 8820652 15487691 14431629 18988350 18961908 16447060 22242176 14097544 15105269 23344327; 2 17850012 30702406 26766494; 
46.376 0 11.025999999999968 1 32.041999999999994 2 3.3079999999999696 0 19624059 14813714 22461427 18162730 39299693 40581589 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 9507822 14328764 14098609 14785887 30285499 8820652 15487691 14431629 18988350 18961908 16447060 22242176 14097544 15105269 23344327 16412744; 2 17850012 30702406 26766494; 
47.75999999999993 0 11.299999999999942 1 33.09800000000003 2 3.361999999999969 0 19624059 14813714 22461427 18162730 39299693 40581589 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 9507822 14328764 14098609 14785887 30285499 8820652 15487691 14431629 18988350 18961908 16447060 22242176 14097544 15105269 16412744 23344327 21093392; 2 17850012 30702406 26766494; 
48.81599999999993 0 12.199999999999951 1 33.20600000000003 2 3.4099999999999686 0 19624059 14813714 22461427 18162730 39299693 40581589 14139780 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 18983688 9507822 14328764 14098609 14785887 30285499 8820652 15487691 18988350 18961908 16447060 22242176 14097544 15105269 16412744 23344327 21093392; 2 17850012 26766494 30702406; 
50.04599999999998 0 13.069999999999945 1 33.60600000000003 2 3.3699999999999735 0 19624059 14813714 22461427 18162730 9922122 39299693 40581589 14139780 27362221 16146535; 1 14451294 16845153 12389772 16494857 15658445 22523228 821812 16102437 8043172 15834295 9507822 14328764 14098609 14785887 30285499 8820652 15487691 18988350 18961908 16447060 22242176 14097544 15105269 16412744 23344327 21093392 1315431; 2 17850012 26766494 30702406; 
