1.0640000000000007 0 0.008 1 1.0400000000000007 2 0.016 0 1 12389772; 2 
2.230000000000001 0 0.06600000000000002 1 2.1440000000000015 2 0.020000000000000004 0 1 12389772 22523228; 2 
4.7219999999999756 0 0.3960000000000003 1 3.0519999999999863 2 1.274000000000001 0 1 12389772 22523228; 2 17850012; 
38.02000000000002 0 8.857999999999972 1 24.643999999999945 2 4.517999999999984 0 22461427 15572221 18162730 33437822 14813714 24983519; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 19360333 20214703 43199935 27120518 22242176 14909369 21494085; 2 16788703 24863940 17850012 16420606; 
39.12600000000002 0 8.977999999999971 1 25.617999999999913 2 4.529999999999984 0 22461427 15572221 18162730 33437822 14813714 24983519; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 19360333 20214703 43199935 24922522 22242176 14909369 21494085 16845153; 2 16788703 24863940 17850012 16420606; 
40.32800000000007 0 8.885999999999976 1 26.00799999999992 2 5.433999999999938 0 22461427 15572221 18162730 33437822 14813714 24983519; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 19360333 20214703 43199935 24922522 22242176 14909369 21494085 16845153; 2 16788703 24863940 17850012 16420606 18102660; 
41.75600000000003 0 10.011999999999972 1 26.229999999999915 2 5.513999999999949 0 82243 22461427 15572221 18162730 33437822 14813714 24983519; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 24922522 22242176 14909369 21494085 16845153 22951944; 2 16788703 24863940 17850012 16420606 18102660; 
42.61800000000001 0 10.989999999999963 1 26.13999999999994 2 5.487999999999946 0 82243 22461427 15572221 18162730 33437822 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 24922522 22242176 14909369 21494085 16845153 22951944; 2 16788703 24863940 17850012 16420606 18102660; 
43.68200000000002 0 11.045999999999955 1 27.151999999999937 2 5.483999999999947 0 82243 22461427 15572221 18162730 33437822 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 24922522 22242176 14909369 16845153 22951944 21494085 14451294; 2 16788703 24863940 17850012 16420606 18102660; 
45.06200000000002 0 11.119999999999958 1 28.403999999999943 2 5.537999999999947 0 82243 22461427 15572221 18162730 33437822 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 24922522 22242176 14909369 16845153 22951944 21494085 14451294 21266715; 2 16788703 24863940 17850012 16420606 13253992; 
46.48799999999998 0 11.157999999999964 1 29.789999999999925 2 5.539999999999946 0 82243 22461427 15572221 18162730 33437822 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 24922522 22242176 14909369 16845153 22951944 21494085 14451294 21266715 15105269; 2 16788703 24863940 17850012 16420606 13253992; 
47.71999999999994 0 11.271999999999961 1 30.919999999999952 2 5.527999999999942 0 82243 22461427 15572221 18162730 15309336 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 27120518 22242176 14909369 16845153 22951944 21494085 14451294 21266715 15105269 17173775; 2 16788703 24863940 17850012 16420606 13253992; 
48.869999999999955 0 11.38399999999997 1 31.909999999999997 2 5.57599999999994 0 82243 22461427 15572221 18162730 15309336 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 27120518 22242176 14909369 17173775 16845153 22951944 15105269 21494085 21266715 14451294 29118055; 2 16788703 24863940 17850012 16420606 13253992; 
49.821999999999925 0 11.323999999999964 1 32.92000000000001 2 5.577999999999943 0 82243 22461427 15572221 18162730 15309336 14813714 24983519 14139780; 1 14167991 15862005 22523228 8043172 16494857 2384071 16102437 14785887 17201112 797018 12389772 23344327 37975185 20214703 43199935 27120518 22242176 14909369 17173775 16845153 22951944 15105269 21494085 21266715 14451294 29118055 16813674; 2 16788703 24863940 17850012 16420606 13253992; 
