1.1900000000000008 0 0.06200000000000001 1 1.1140000000000008 2 0.014 0 1 22523228; 2 
2.228 0 0.024000000000000007 1 2.1800000000000006 2 0.024 0 1 22523228 37975185; 2 
4.685999999999977 0 0.33600000000000024 1 3.061999999999986 2 1.288000000000001 0 1 22523228 37975185; 2 17850012; 
7.647999999999965 0 0.7520000000000006 1 5.581999999999971 2 1.314000000000001 0 1 37975185 22523228 2384071; 2 17850012; 
6.711999999999958 0 0.36400000000000027 1 5.093999999999968 2 1.254000000000001 0 1 37975185 22523228 12389772 14167991; 2 17850012; 
39.70800000000003 0 7.227999999999956 1 27.923999999999964 2 4.5559999999999805 0 26945207 17582384 22461427 82243; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071; 2 17850012 16788703 17291344 24863940; 
40.667999999999985 0 7.195999999999969 1 28.995999999999942 2 4.475999999999985 0 26945207 17582384 22461427 82243; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15728729; 2 17850012 16788703 17291344 24863940; 
39.791999999999994 0 5.675999999999963 1 29.59399999999992 2 4.521999999999983 0 26945207 17582384 14103852 82243; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15728729 15487691; 2 17850012 16788703 17291344 24863940; 
40.96200000000004 0 5.725999999999959 1 29.66399999999997 2 5.571999999999941 0 26945207 17582384 14103852 82243; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17201112 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15728729 15487691; 2 17850012 16788703 17291344 24863940 18102660; 
44.61200000000005 0 7.429999999999966 1 31.61200000000002 2 5.5699999999999426 0 26945207 17582384 22461427 82243; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17451621 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002; 2 17850012 17826349 17291344 24863940 18102660; 
45.57599999999992 0 8.519999999999971 1 31.453999999999976 2 5.601999999999944 0 26945207 17582384 22461427 82243 32627702; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17451621 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002; 2 17850012 17826349 17291344 24863940 18102660; 
46.59799999999997 0 8.461999999999971 1 32.542000000000016 2 5.593999999999941 0 34268574 17582384 22461427 82243 32627702; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17451621 15862005 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002 22463905; 2 17850012 17826349 17291344 24863940 18102660; 
48.72799999999996 0 11.043999999999967 1 32.06999999999997 2 5.613999999999946 0 22461427 18326035 17582384 14103852 82243 32627702 7376382; 1 14167991 22242176 16102437 14909369 43199935 8043172 37975185 22523228 12389772 16494857 797018 16004411 21494085 17451621 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002 22463905; 2 17850012 17826349 17291344 24863940 18102660; 
49.60599999999984 0 11.743999999999946 1 32.65999999999998 2 5.201999999999967 0 22461427 18326035 17582384 14103852 82243 41796356 7376382 20661527; 1 14167991 22242176 16102437 14909369 43199935 16236786 37975185 40581809 22523228 12389772 16494857 797018 16004411 21494085 17451621 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002 22463905; 2 19686924 17826349 24863940 18102660; 
50.49199999999992 0 11.613999999999955 1 32.65000000000002 2 6.22799999999995 0 22461427 18326035 17582384 14103852 82243 41796356 7376382 20661527; 1 14167991 22242176 16102437 14909369 43199935 16236786 37975185 40581809 22523228 12389772 16494857 797018 16004411 21494085 17201112 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002 22463905; 2 19686924 17826349 24863940 18102660 20355846; 
51.79999999999987 0 11.775999999999957 1 33.838000000000044 2 6.185999999999952 0 22461427 18326035 17582384 14103852 82243 41796356 7376382 20661527; 1 14167991 22242176 16102437 14909369 43199935 16236786 37975185 40581809 22523228 12389772 16494857 797018 16004411 21494085 17201112 14785887 23344327 15105269 21093392 21266715 23135992 2384071 15487691 15728729 9590002 22463905 14451294; 2 19686924 17826349 24863940 18102660 20355846; 
