1.1060000000000008 0 0.012 1 1.0840000000000007 2 0.01 0 1 22523228; 2 
2.2580000000000013 0 0.05800000000000002 1 2.1680000000000015 2 0.032000000000000015 0 1 22523228 12389772; 2 
3.373999999999961 0 0.054 1 3.271999999999963 2 0.04800000000000003 0 1 22523228 12389772 14167991; 2 
4.315999999999995 0 0.054000000000000006 1 4.225999999999997 2 0.03600000000000002 0 1 22523228 12389772 14167991 14365965; 2 
6.447999999999947 0 0.32200000000000023 1 5.067999999999973 2 1.0580000000000007 0 1 22523228 12389772 14167991 14365965; 2 17850012; 
7.545999999999967 0 0.36800000000000027 1 6.139999999999953 2 1.0380000000000007 0 1 22523228 12389772 14167991 14365965 37975185; 2 17850012; 
35.98200000000006 0 5.125999999999972 1 29.607999999999922 2 1.2480000000000009 0 22461427 14813714; 1 22523228 22463905 14167991 16004411 14365965 14052933 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 2384071 14785887 23344327 17305642 23885448 16102437 30864390 16845153 15184942; 2 17850012; 
37.148000000000046 0 5.131999999999971 1 30.763999999999957 2 1.252000000000001 0 22461427 14813714; 1 22523228 22463905 14167991 16004411 14365965 14052933 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 2384071 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294; 2 17850012; 
38.374000000000024 0 5.155999999999978 1 31.942 2 1.276000000000001 0 22461427 14813714; 1 22523228 22463905 14167991 16004411 14365965 14052933 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 2384071 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 9590002; 2 17850012; 
38.96800000000005 0 5.063999999999969 1 31.60200000000002 2 2.301999999999998 0 22461427 14813714; 1 22523228 22463905 14167991 16004411 14365965 14052933 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 2384071 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 14270650; 2 17850012 24369882; 
40.628 0 5.287999999999971 1 33.048000000000044 2 2.291999999999999 0 22461427 14813714; 1 22523228 22463905 14167991 16004411 14365965 14052933 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 2384071 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 14270650 16494857; 2 17850012 24369882; 
41.47600000000002 0 5.191999999999975 1 34.05000000000003 2 2.2339999999999987 0 22461427 14813714; 1 22523228 22463905 14167991 16004411 14365965 14052933 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 14270650 16494857 2384071; 2 17850012 24369882; 
42.84999999999999 0 7.335999999999972 1 34.23800000000004 2 1.276000000000001 0 22461427 14813714 19109577 6114252; 1 22523228 22242176 14167991 16004411 16394517 15745126 12389772 21494085 18988350 14909369 8043172 9462472 15307206 16236786 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 14270650 16494857 2384071; 2 17850012; 
42.87000000000003 0 7.153999999999961 1 33.474000000000025 2 2.241999999999998 0 22461427 14813714 19109577 6114252; 1 22523228 22242176 14167991 16394517 18217662 12389772 21494085 18988350 14909369 8043172 9462472 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 14270650 16494857 2384071 16936384; 2 17291344 17850012; 
44.31200000000002 0 9.339999999999975 1 32.74000000000002 2 2.2319999999999998 0 22461427 18975155 14813714 6114252 19109577 32627702; 1 22523228 22242176 14167991 16394517 18217662 12389772 21494085 18988350 14909369 8043172 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 2384071 14270650 16494857 16431844; 2 17291344 17850012; 
45.141999999999996 0 8.377999999999968 1 32.52000000000004 2 4.24399999999999 0 22461427 18975155 14813714 19045839 32627702; 1 22523228 22242176 14167991 16394517 18217662 12389772 21494085 18988350 14909369 8043172 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 2384071 14270650 16494857 16431844; 2 17291344 17850012 24369882 15497454; 
46.319999999999936 0 9.307999999999973 1 32.73600000000001 2 4.275999999999988 0 22461427 18975155 14813714 19045839 32627702 15256188; 1 22523228 22242176 14167991 16394517 18217662 12389772 21494085 18988350 14909369 8043172 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 2384071 14270650 16494857 16431844; 2 17291344 17850012 24369882 15497454; 
47.33999999999996 0 8.197999999999972 1 33.800000000000054 2 5.341999999999943 0 22461427 18975155 14813714 19045839 15256188; 1 22523228 22242176 14167991 16394517 18217662 12389772 21494085 18988350 14909369 8043172 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 16494857 14270650 16431844 2384071 41773112; 2 17291344 17850012 15497454 24369882 30197513; 
49.25399999999994 0 8.467999999999957 1 35.488000000000014 2 5.2979999999999405 0 22461427 14813714 29863027 39299693 15256188; 1 22523228 22242176 14167991 16394517 18217662 12389772 21494085 18988350 14909369 8043172 1304091 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 16494857 14270650 16431844 9462472 2384071; 2 17291344 17850012 15497454 24369882 30197513; 
49.989999999999895 0 9.415999999999965 1 34.24800000000003 2 6.325999999999946 0 18162730 22461427 14813714 29863027 39299693 15256188; 1 22523228 22242176 14167991 18217662 12389772 21494085 18988350 14909369 8043172 1304091 15307206 26911668 32949746 15728729 30864390 16102437 17305642 23885448 15184942 14785887 16845153 23344327 14451294 16494857 14270650 16431844 9462472 2384071; 2 17291344 17850012 15497454 24369882 30197513 9146202; 
