1.1500000000000008 0 0.02 1 1.1260000000000008 2 0.004 0 1 22523228; 2 
4.443999999999976 0 2.8839999999999852 1 1.5300000000000011 2 0.030000000000000013 0 22461427; 1 12389772; 2 
5.6399999999999695 0 2.913999999999984 1 2.6839999999999917 2 0.04200000000000002 0 22461427; 1 12389772 27486099; 2 
6.485999999999967 0 3.8639999999999817 1 2.5879999999999947 2 0.03400000000000001 0 22461427 14813714; 1 27486099 12389772; 2 
8.309999999999965 0 3.907999999999975 1 4.339999999999978 2 0.06200000000000003 0 22461427 14813714; 1 16447060 12389772 22242176; 2 
9.471999999999964 0 3.9659999999999767 1 5.443999999999962 2 0.062000000000000034 0 22461427 14813714; 1 22242176 12389772 16447060 14451294; 2 
10.861999999999965 0 4.061999999999976 1 6.727999999999966 2 0.07200000000000004 0 22461427 14813714; 1 22242176 12389772 16447060 14451294 17862286; 2 
26.71599999999994 0 6.033999999999968 1 18.517999999999986 2 2.1640000000000006 0 18162730 14813714 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269; 2 17850012 9146202; 
27.545999999999925 0 5.883999999999962 1 19.47999999999999 2 2.1820000000000013 0 18162730 14813714 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269; 2 17850012 9146202; 
29.123999999999945 0 6.137999999999968 1 20.829999999999977 2 2.156 0 18162730 14813714 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 25468909; 2 17850012 9146202; 
28.035999999999934 0 5.681999999999975 1 19.208 2 3.1459999999999666 0 18162730 14813714 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 8043172 16494857 20576509 19360333 18988350 15105269 25468909 27120518; 2 17850012 9146202 30702406; 
30.815999999999978 0 5.9999999999999645 1 22.641999999999978 2 2.1740000000000004 0 18162730 14813714 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 27120518 25468909 8624502; 2 17850012 9146202; 
31.956 0 7.043999999999965 1 22.72399999999999 2 2.1879999999999997 0 18162730 14813714 22461427 16146535; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 27120518 25468909 8624502; 2 17850012 9146202; 
32.88999999999999 0 6.9919999999999645 1 24.71399999999995 2 1.1840000000000008 0 18162730 14813714 16146535 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 22463905 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 25468909 27120518 8624502 11726732; 2 17850012; 
33.916000000000004 0 7.013999999999966 1 25.71799999999991 2 1.1840000000000008 0 20920377 14813714 16146535 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 22463905 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 25468909 27120518 8624502 11726732 17498731; 2 17850012; 
33.614000000000026 0 7.827999999999964 1 23.625999999999987 2 2.1600000000000006 0 20920377 14813714 33437822 16146535 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 8043172 16494857 20576509 19360333 18988350 15105269 25468909 27120518 8624502 11726732 17498731 15076390; 2 17850012 30702406; 
35.09000000000005 0 9.009999999999971 1 23.899999999999938 2 2.1799999999999997 0 20920377 14813714 33437822 15319555 16146535 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 8043172 16494857 20576509 19360333 15105269 25468909 27120518 8624502 11726732 17498731 15076390 14328764; 2 17850012 30702406; 
37.618000000000045 0 9.253999999999971 1 27.121999999999925 2 1.2420000000000009 0 20920377 14813714 33437822 15319555 16146535 22461427; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 15105269 25468909 27120518 15809746 11726732 17498731 15076390 14328764 14204673; 2 17850012; 
38.67000000000002 0 8.257999999999969 1 28.19599999999994 2 2.2159999999999993 0 20920377 14813714 33437822 22461427 16146535; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 15076390 15809746 27120518 25468909 14328764 14204673 17498731 11726732; 2 17850012 26766494; 
39.88400000000004 0 9.301999999999966 1 28.395999999999944 2 2.186 0 20920377 14813714 33437822 22461427 16146535 9922122; 1 12389772 17862286 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 15076390 15809746 27120518 25468909 14328764 14204673 17498731 11726732; 2 17850012 26766494; 
40.946000000000055 0 10.133999999999961 1 28.549999999999944 2 2.262 0 19624059 20920377 14813714 33437822 22461427 16146535 9922122; 1 12389772 16845153 14451294 16102437 22242176 22523228 14167991 2384071 8043172 16494857 20576509 19360333 18988350 15105269 15076390 15809746 27120518 25468909 14328764 14204673 17498731 11726732 15487691; 2 17850012 26766494; 
41.562000000000026 0 12.127999999999949 1 27.11599999999991 2 2.3179999999999987 0 19624059 18162730 14813714 33437822 15319555 27362221 22461427 16146535 9922122; 1 12389772 16845153 14451294 16102437 28942852 22523228 14167991 2384071 8043172 16494857 20576509 19360333 15105269 15809746 27120518 25468909 14328764 14204673 17498731 11726732 15487691 14785887; 2 17850012 26766494; 
42.44200000000001 0 12.081999999999962 1 27.09199999999992 2 3.2679999999999656 0 19624059 18162730 14813714 33437822 15319555 27362221 22461427 16146535 9922122; 1 12389772 16845153 14451294 16102437 28942852 22523228 14167991 2384071 8043172 16494857 20576509 19360333 15105269 15809746 27120518 25468909 14328764 14204673 17498731 11726732 15487691 14785887; 2 17850012 26766494 24863940; 
44.16600000000006 0 11.255999999999963 1 28.655999999999946 2 4.253999999999991 0 19624059 18162730 14813714 33437822 15319555 22461427 16146535 9922122; 1 12389772 16845153 14451294 16102437 28942852 22523228 14167991 2384071 8043172 16494857 20576509 19360333 15105269 15076390 15809746 27120518 25468909 14328764 17498731 11726732 15487691 14785887 15184942; 2 17850012 30702406 26766494 24863940; 
44.906000000000084 0 13.275999999999945 1 27.35399999999994 2 4.275999999999991 0 19624059 18162730 14813714 33437822 15319555 27362221 22461427 16146535 9922122 17497582; 1 12389772 16845153 14451294 16102437 28942852 22523228 14167991 2384071 8043172 16494857 20576509 19360333 15105269 15809746 27120518 25468909 14328764 17498731 11726732 15487691 14785887 15184942; 2 17850012 30702406 26766494 24863940; 
44.16999999999999 0 14.801999999999966 1 25.099999999999934 2 4.267999999999989 0 19624059 18162730 14813714 33437822 39299693 15319555 27362221 16787980 22461427 31512912 9922122 17497582; 1 12389772 16845153 14451294 16102437 28942852 22523228 14167991 8043172 16494857 20576509 19360333 15105269 27120518 25468909 14328764 11926262 17498731 11726732 15487691 14785887 15184942; 2 17850012 26766494 24863940 30702406; 
45.910000000000025 0 14.981999999999962 1 26.633999999999926 2 4.29399999999999 0 16787980 39299693 31512912 9922122 33437822 17497582 14813714 19624059 22461427 15319555 27362221 18162730; 1 17498731 11726732 27120518 28942852 15487691 16494857 8043172 12389772 14328764 22523228 16102437 15105269 11926262 14451294 14785887 19360333 15184942 25468909 20576509 16845153 14167991 8820652; 2 30702406 26766494 24863940 17850012; 
47.11999999999996 0 14.081999999999962 1 28.755999999999947 2 4.281999999999989 0 16787980 39299693 31512912 9922122 33437822 17497582 19624059 22461427 15319555 27362221 18162730; 1 17498731 11726732 27120518 28942852 15487691 16494857 8043172 12389772 14328764 22523228 22399021 16102437 15105269 11926262 14451294 14785887 19360333 15184942 25468909 20576509 16845153 14167991 8820652 9507822; 2 30702406 26766494 24863940 17850012; 
48.260000000000026 0 14.149999999999958 1 29.829999999999966 2 4.279999999999989 0 16787980 39299693 31512912 9922122 33437822 17497582 19624059 22461427 15319555 27362221 18162730; 1 17498731 11726732 27120518 28942852 15487691 16494857 8043172 12389772 14328764 22523228 22399021 16102437 15105269 11926262 14451294 14785887 19360333 15184942 25468909 20576509 16845153 14167991 8820652 9507822 21093392; 2 30702406 26766494 24863940 17850012; 
