1.1700000000000008 0 0.06 1 1.1020000000000008 2 0.008 0 1 22523228; 2 
2.174000000000001 0 1.0360000000000007 1 1.1080000000000008 2 0.030000000000000013 0 18162730; 1 22523228; 2 
3.4299999999999637 0 1.1400000000000008 1 2.2600000000000007 2 0.030000000000000013 0 18162730; 1 22523228 14167991; 2 
4.413999999999994 0 1.1020000000000008 1 3.279999999999965 2 0.032000000000000015 0 18162730; 1 22523228 14167991 37975185; 2 
7.891999999999967 0 2.887999999999985 1 4.933999999999977 2 0.07000000000000005 0 22461427; 1 22523228 14167991 37975185 22242176; 2 
36.05400000000005 0 4.865999999999973 1 28.01599999999994 2 3.171999999999968 0 22461427 16090188; 1 17862286 15862005 2384071 14167991 9462472 22242176 20716296 26771859 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 16102437 15728729 16431844; 2 17850012 30197513 9146202; 
36.58200000000005 0 4.761999999999974 1 29.495999999999942 2 2.323999999999998 0 22461427 16090188; 1 17862286 19022050 15862005 2384071 14167991 9462472 22242176 20716296 26771859 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 16102437 15728729 16431844 22951944; 2 30197513 9146202; 
38.31800000000001 0 4.913999999999972 1 29.03999999999994 2 4.363999999999989 0 22461427 16090188; 1 37975185 15862005 2384071 14167991 9462472 22242176 20716296 26771859 797018 16667356 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 22951944 15184942; 2 17850012 19686924 30197513 9146202; 
37.76400000000002 0 5.609999999999966 1 26.843999999999923 2 5.30999999999994 0 22461427 21733345 16090188; 1 37975185 15862005 14167991 16667356 22242176 20716296 26771859 797018 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294; 2 17850012 30702406 19686924 30197513 9146202; 
40.96800000000003 0 6.081999999999962 1 30.48199999999998 2 4.403999999999988 0 22461427 21733345 16090188; 1 37975185 15862005 2384071 14167991 16667356 22242176 20716296 26771859 797018 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 21093392; 2 17850012 19686924 30197513 9146202; 
42.31200000000005 0 5.129999999999974 1 32.754000000000005 2 4.4279999999999875 0 22461427 16090188; 1 37975185 15862005 2384071 14167991 9462472 22242176 16667356 26771859 797018 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 21093392 23344327; 2 17850012 19686924 30197513 9146202; 
43.54200000000002 0 5.309999999999972 1 33.838000000000044 2 4.393999999999985 0 22461427 16090188; 1 37975185 15862005 2384071 14167991 9462472 22242176 16667356 26771859 797018 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 23344327 21093392 16494857; 2 17850012 19686924 30197513 9146202; 
43.10399999999998 0 6.007999999999966 1 31.756000000000007 2 5.339999999999942 0 22461427 16090188 14368074; 1 37975185 15862005 14167991 9462472 22242176 16667356 26771859 797018 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 23344327 21093392 16412744; 2 17850012 30702406 19686924 30197513 9146202; 
44.73600000000002 0 8.179999999999964 1 31.132 2 5.423999999999942 0 18975155 22461427 30938840 16090188 14368074; 1 37975185 15862005 14167991 22242176 16667356 26771859 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 23344327 21093392 16412744 15105269; 2 17850012 30702406 19686924 30197513 9146202; 
45.61600000000002 0 8.087999999999969 1 32.156 2 5.371999999999939 0 18975155 22461427 30938840 16090188 14368074; 1 37975185 15862005 14167991 22242176 16667356 26771859 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 23344327 21093392 16412744 15105269 25456152; 2 17850012 30702406 19686924 30197513 9146202; 
46.873999999999974 0 7.077999999999969 1 34.344000000000044 2 5.451999999999945 0 22461427 30938840 16090188 14368074; 1 37975185 15862005 14167991 19360333 22242176 22523228 26771859 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294 23344327 21093392 16412744 15105269 25456152 27486099; 2 17850012 30702406 19686924 30197513 9146202; 
47.91199999999994 0 8.061999999999964 1 34.440000000000055 2 5.409999999999943 0 22461427 30938840 16090188 14368074 17297261; 1 37975185 15862005 14167991 19360333 22242176 22523228 26771859 23885448 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 27486099 22951944 16431844 25456152 15105269 21093392 14451294 15728729 16412744 23344327 15184942; 2 17850012 30702406 19686924 9146202 30197513; 
48.85799999999994 0 6.249999999999967 1 37.34600000000008 2 5.261999999999942 0 22461427 30938840 16090188; 1 37975185 15862005 14167991 19360333 22242176 22523228 26771859 23885448 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16813674 16102437 27486099 22951944 16431844 25456152 15105269 16494857 21093392 14451294 15728729 16412744 23344327 15184942 16579074 14270650; 2 17850012 30702406 13253992 9146202 30197513; 
