1.2120000000000009 0 0.06400000000000002 1 1.1400000000000008 2 0.008 0 1 22523228; 2 
2.2420000000000013 0 0.04400000000000001 1 2.156000000000001 2 0.04200000000000002 0 1 22523228 14167991; 2 
6.625999999999966 0 0.8360000000000006 1 4.475999999999979 2 1.314000000000001 0 1 22523228 2384071; 2 17850012; 
9.945999999999975 0 3.5099999999999745 1 5.06599999999997 2 1.370000000000001 0 22461427; 1 2384071 22523228; 2 17850012; 
10.78799999999996 0 4.479999999999974 1 4.975999999999974 2 1.332000000000001 0 22461427 14813714; 1 2384071 22523228; 2 17850012; 
11.721999999999962 0 4.447999999999972 1 5.977999999999963 2 1.296000000000001 0 22461427 14813714; 1 2384071 22523228 19360333; 2 17850012; 
12.987999999999968 0 4.587999999999974 1 6.049999999999973 2 2.349999999999999 0 22461427 14813714; 1 2384071 22523228 19360333; 2 17850012 24863940; 
13.85399999999995 0 4.447999999999979 1 7.033999999999965 2 2.3719999999999986 0 22461427 14813714; 1 14167991 22523228 19360333 2384071; 2 17850012 24863940; 
14.875999999999971 0 4.383999999999974 1 8.107999999999969 2 2.3839999999999977 0 22461427 14813714; 1 14167991 22523228 19360333 2384071 37975185; 2 17850012 24863940; 
15.765999999999961 0 4.3779999999999735 1 8.989999999999972 2 2.397999999999997 0 22461427 14813714; 1 14167991 22523228 19360333 2384071 37975185 21437676; 2 17850012 24863940; 
17.221999999999976 0 4.611999999999973 1 10.239999999999972 2 2.3699999999999974 0 22461427 14813714; 1 14167991 22523228 19360333 2384071 37975185 21437676 14451294; 2 17850012 24863940; 
18.267999999999983 0 4.517999999999976 1 10.369999999999965 2 3.3799999999999697 0 22461427 14813714; 1 14167991 22523228 19360333 2384071 37975185 21437676 14451294; 2 17850012 24863940 17826349; 
20.099999999999977 0 4.665999999999973 1 11.513999999999964 2 3.9199999999999724 0 22461427 14813714; 1 14167991 22523228 19360333 2384071 37975185 21437676 14451294 27120518; 2 17850012 24863940 19686924; 
21.021999999999977 0 4.599999999999981 1 12.559999999999942 2 3.861999999999971 0 22461427 14813714; 1 14167991 22523228 19360333 12389772 37975185 21437676 14451294 27120518 2384071; 2 17850012 24863940 19686924; 
21.493999999999996 0 4.623999999999979 1 13.51399999999996 2 3.355999999999968 0 22461427 14813714; 1 14167991 22523228 19360333 12389772 37975185 21437676 14451294 27120518 2384071 17201112; 2 17850012 24863940 17826349; 
22.883999999999993 0 4.72399999999997 1 14.679999999999962 2 3.4799999999999702 0 22461427 14813714; 1 14167991 22523228 19360333 12389772 37975185 21437676 14451294 27120518 2384071 17201112 16494857; 2 17850012 24863940 17826349; 
23.989999999999938 0 4.743999999999972 1 15.857999999999997 2 3.387999999999969 0 22461427 14813714; 1 14167991 22523228 19360333 12389772 37975185 21437676 14451294 27120518 2384071 17201112 16494857 43199935; 2 17850012 24863940 16420606; 
24.88999999999997 0 4.717999999999973 1 16.767999999999986 2 3.4039999999999675 0 22461427 14813714; 1 14167991 22523228 19360333 21437676 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085; 2 17850012 24863940 17826349; 
26.413999999999955 0 4.831999999999973 1 18.11999999999998 2 3.4619999999999713 0 22461427 14813714; 1 14167991 22523228 19360333 21437676 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887; 2 17850012 24863940 17826349; 
27.721999999999934 0 4.953999999999974 1 19.281999999999986 2 3.485999999999971 0 22461427 14813714; 1 14167991 22523228 19360333 21437676 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887 16102437; 2 17850012 24863940 17826349; 
28.577999999999943 0 5.689999999999966 1 19.419999999999977 2 3.46799999999997 0 22461427 14813714 33437822; 1 14167991 22523228 19360333 21437676 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887 16102437; 2 17850012 24863940 17826349; 
29.687999999999974 0 4.785999999999975 1 21.45399999999999 2 3.447999999999969 0 22461427 14813714; 1 14167991 22523228 19360333 21437676 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887 16102437 40225273 797018; 2 17850012 24863940 17826349; 
31.38999999999996 0 4.807999999999973 1 21.505999999999986 2 5.07599999999997 0 22461427 14813714; 1 14167991 22523228 19360333 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887 16102437 40225273 797018 21437676; 2 17850012 16788703 24863940 19686924; 
32.592000000000006 0 5.077999999999978 1 22.48999999999997 2 5.023999999999971 0 22461427 14813714; 1 14167991 22523228 19360333 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887 16102437 40225273 797018 21437676 14909369; 2 17850012 16788703 24863940 19686924; 
33.44000000000002 0 5.937999999999966 1 22.433999999999966 2 5.0679999999999685 0 26694808 14813714 22461427; 1 14167991 22523228 19360333 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 14785887 16102437 40225273 797018 21437676 14909369; 2 17850012 16788703 24863940 19686924; 
34.72800000000001 0 6.015999999999967 1 23.641999999999946 2 5.069999999999971 0 26694808 14813714 22461427; 1 14167991 22523228 19360333 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 21437676 797018 14785887 40225273 14909369 16102437 23344327; 2 17850012 16788703 24863940 19686924; 
35.904000000000046 0 6.0299999999999665 1 24.7859999999999 2 5.087999999999968 0 26694808 14813714 22461427; 1 14167991 22523228 19360333 37975185 2384071 16494857 12389772 43199935 27120518 17201112 14451294 21494085 21437676 797018 14785887 40225273 14909369 16102437 23344327 16462880; 2 17850012 16788703 24863940 19686924; 
37.009999999999984 0 5.9819999999999744 1 25.025999999999954 2 6.001999999999944 0 26694808 14813714 22461427; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 16462880 21437676; 2 17850012 16788703 11120172 24863940 19686924; 
37.53000000000004 0 6.0239999999999645 1 25.957999999999913 2 5.547999999999941 0 26694808 14813714 22461427; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 21437676 16462880 37135242; 2 17850012 16788703 11120172 24863940 17492541; 
38.70000000000003 0 6.0219999999999665 1 27.091999999999913 2 5.585999999999942 0 26694808 14813714 22461427; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 21437676 16462880 37135242 15105269; 2 17850012 16788703 11120172 24863940 17492541; 
39.51200000000003 0 6.91399999999996 1 27.053999999999913 2 5.5439999999999445 0 26694808 14813714 22461427 19045839; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 21437676 16462880 37135242 15105269; 2 17850012 16788703 11120172 24863940 17492541; 
40.934 0 7.157999999999964 1 28.213999999999924 2 5.561999999999944 0 26694808 14813714 22461427 19045839; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 21437676 16462880 37135242 15105269 22242176; 2 17850012 16788703 11120172 24863940 17492541; 
41.97000000000001 0 7.1699999999999715 1 29.30599999999995 2 5.493999999999944 0 26694808 14813714 22461427 19045839; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 21437676 16462880 37135242 15105269 22242176 41773112; 2 17850012 16788703 11120172 24863940 17492541; 
42.90200000000002 0 7.099999999999971 1 30.18999999999993 2 5.611999999999943 0 26694808 14813714 22461427 19045839; 1 14167991 22523228 19360333 37975185 2384071 16494857 43199935 27120518 17201112 14451294 21494085 17451621 797018 14785887 40225273 14909369 16102437 23344327 21437676 16462880 37135242 15105269 22242176 41773112 25468909; 2 17850012 16788703 11120172 24863940 16420606; 
44.04600000000002 0 8.12399999999997 1 30.39600000000001 2 5.525999999999943 0 26694808 22461427 14813714 19045839 6107302; 1 23344327 2384071 37135242 17201112 22242176 21494085 14451294 25468909 797018 14909369 40225273 27120518 22523228 16462880 17451621 37975185 43199935 21437676 16102437 15105269 14785887 16494857 14167991 41773112 19360333; 2 16420606 17850012 16788703 24863940 11120172; 
